"city","year","lts","found_routes","access_15min_vol"
"zurich",16,3,19999,153489085
"zurich",16,4,20000,207350435
"zurich",21,3,20000,128134605
"zurich",21,4,20000,173778716
"zurich",26,3,19922,100560424
"zurich",26,4,20000,142197304
"zurich",16,1,19998,534799378
"zurich",16,2,19999,571820413
"zurich",19,1,20000,578984395
"zurich",19,2,20000,619696790
"zurich",21,1,20000,570157428
"zurich",21,2,20000,610964580
"zurich",24,1,19551,585790603
"zurich",24,2,19624,618246116
"zurich",26,1,19586,562684809
"zurich",26,2,19586,591300069
