"city","year","lts","found_routes","access_15min_vol"
"tokyo",16,3,19767,72475519
"tokyo",16,4,19952,148007234
"tokyo",21,3,19866,87646004
"tokyo",21,4,19942,147378439
"tokyo",26,3,19940,90526858
"tokyo",26,4,19952,143889060
"tokyo",16,1,19416,214741115
"tokyo",16,2,19528,303814574
"tokyo",19,1,19607,266998791
"tokyo",19,2,19730,381845531
"tokyo",21,1,19637,369585370
"tokyo",21,2,19735,501683507
"tokyo",24,1,19723,421740136
"tokyo",24,2,19802,566829223
"tokyo",26,1,19733,466592155
"tokyo",26,2,19792,732878501
