"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","pct_lts1_alternative","pct_lts2_alternative","pct_lts3_alternative","pct_lts4_alternative","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Concepcion",2016,1,550864,3841.13,1.92,0,35.16,0.26,10.78,7.81,0,0,2.97,55.49,1.05,12.83,30.49,60.5,0.6,11.32,27.44,2775794.603,32308,1.16,53.12,0.88,16.35,29.65,25089,0,0,7218,10.11,"20260327_190113",19318,4994059
"Concepcion",2018,1,550864,3843.99,1.9,0.07,34.95,0.31,11.6,9.52,0,0,2.08,56.3,1.3,11.14,31.13,60.54,0.84,9.42,29.06,2998911.819,36889,1.23,54.01,1.01,15.23,29.75,30277,0,0,6612,10.11,"20260327_190113",19462,4803651
"Concepcion",2020,1,550864,3865.07,1.9,0.62,33.03,0.71,21.27,16.52,3.39,0,1.36,56.61,8.97,3.39,30.97,67.31,6.42,2.79,23.4,3271991.303,56260,1.72,54.41,10.76,6.14,28.69,45979,5858,0,4424,10.11,"20260327_190113",19620,5898768
"Concepcion",2022,1,550864,3797.99,1.87,-1.12,32.17,0.72,21.95,17.48,3.14,0,1.33,59.33,9.45,3.03,28.15,69.49,6.79,2.6,21.08,3324802.34,49749,1.5,51.23,10.86,6.68,31.23,43473,4494,0,1782,10.11,"20260327_190113",19609,6200901
"Concepcion",2024,1,550864,3983.25,1.94,3.7,30.95,1.17,31.89,29,0.43,1.12,1.34,61.93,6.26,5.69,26.07,75.5,4.01,4.54,15.9,3366053.105,81926,2.43,55.57,7.09,8.79,28.54,75350,2621,2318,1637,10.11,"20260327_190113",19680,6494595
"Concepcion",2026,1,550864,3919.88,1.91,2.05,30.13,1.25,32.95,29.42,0.43,1.14,1.95,62.48,6.12,6.53,24.81,76.05,4.53,4.99,14.37,3479910.309,89607,2.57,55.94,6.97,8.66,28.43,80478,2590,2352,4187,10.11,"20260327_190113",19786,6563795
