"city","year","lts","found_routes","access_15min_vol"
"brussels",16,3,20000,456233159
"brussels",16,4,20000,652156515
"brussels",21,3,19990,491959728
"brussels",21,4,19990,658488167
"brussels",26,3,19992,399338729
"brussels",26,4,19992,527243830
"brussels",16,1,20000,54959449
"brussels",16,2,20000,61513902
"brussels",19,1,20000,73285658
"brussels",19,2,20000,80355298
"brussels",21,1,19882,79896576
"brussels",21,2,19882,102124700
"brussels",24,1,19913,83541060
"brussels",24,2,19913,99314211
"brussels",26,1,19913,80581815
"brussels",26,2,19913,93450901
"brussels",18,1,20000,68414265
"brussels",20,1,20000,78509066
"brussels",22,1,19882,80124854
