"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"115","115",3683,3743,3730,60,-13,47,0.0127613358674993
"116","116",7356,6277,6393,-1079,116,-963,-0.130913539967374
"117","117",6989,6400,6878,-589,478,-111,-0.0158821004435542
"118","118",5970,4756,4585,-1214,-171,-1385,-0.231993299832496
"119","119",13294,13666,13362,372,-304,68,0.0051150895140665
"120","120",8294,8276,8522,-18,246,228,0.0274897516276827
"121","121",13027,11145,10639,-1882,-506,-2388,-0.183311583633991
"122","122",1279,1181,1236,-98,55,-43,-0.0336200156372166
"123","123",4968,4722,4474,-246,-248,-494,-0.0994363929146538
"124","124",7824,7651,7589,-173,-62,-235,-0.0300357873210634
"126","126",13668,12096,12162,-1572,66,-1506,-0.110184372256365
"127","127",8367,8531,6691,164,-1840,-1676,-0.200310744591849
"128","128",3934,2768,2815,-1166,47,-1119,-0.284443314692425
"131","131",4531,4953,4426,422,-527,-105,-0.0231736923416464
"133","133",10208,10208,9667,0,-541,-541,-0.0529976489028213
"134","134",6621,6606,6105,-15,-501,-516,-0.0779338468509289
"135","135",12434,13580,11030,1146,-2550,-1404,-0.112916197522921
"137","137",6509,5792,6085,-717,293,-424,-0.0651405745890306
"138","138",7660,8982,7610,1322,-1372,-50,-0.00652741514360313
"139","139",10943,9104,9013,-1839,-91,-1930,-0.176368454719912
"140","140",10394,9667,9293,-727,-374,-1101,-0.105926496055417
"141","141",8774,8127,7480,-647,-647,-1294,-0.147481194438113
"142","142",11777,8738,8987,-3039,249,-2790,-0.236902436953384
"143","143",12990,13016,12204,26,-812,-786,-0.0605080831408776
"144","144",9853,10320,9258,467,-1062,-595,-0.0603876991779154
"145","145",10339,9308,9801,-1031,493,-538,-0.0520359802688848
"147","147",8071,7388,6990,-683,-398,-1081,-0.133936315202577
"148","148",8449,8470,8684,21,214,235,0.0278139424783998
"150","150",1811,1753,1749,-58,-4,-62,-0.0342352291551629
"151","151",12806,10977,11178,-1829,201,-1628,-0.127127908792753
"152","152",3233,2907,3089,-326,182,-144,-0.0445406742963192
"153","153",10982,10735,11794,-247,1059,812,0.0739391731924968
"154","154",12007,12296,11928,289,-368,-79,-0.00657949529441159
"156","156",9027,7282,7671,-1745,389,-1356,-0.150216018610834
"157","157",6355,7828,8076,1473,248,1721,0.27081038552321
"158","158",13500,12756,12688,-744,-68,-812,-0.0601481481481481
"159","159",7884,5516,5510,-2368,-6,-2374,-0.301116184677829
"160","160",5449,5294,5365,-155,71,-84,-0.0154156726004772
"161","161",8445,8366,7353,-79,-1013,-1092,-0.129307282415631
"162","162",9310,9550,9935,240,385,625,0.0671321160042965
"164","164",7152,7235,7000,83,-235,-152,-0.0212527964205817
"165","165",2422,1734,1669,-688,-65,-753,-0.310900082576383
"166","166",9646,9877,9806,231,-71,160,0.0165871863985072
"167","167",12519,13547,12734,1028,-813,215,0.0171738956785686
"168","168",2019,1922,1866,-97,-56,-153,-0.0757800891530461
"169","169",2946,2738,2872,-208,134,-74,-0.0251188051595384
"171","171",7223,7056,7106,-167,50,-117,-0.0161982555724768
"172","172",11349,11534,10340,185,-1194,-1009,-0.088906511586924
"173","173",12288,10728,9563,-1560,-1165,-2725,-0.221761067708333
"177","177",8794,6520,6911,-2274,391,-1883,-0.214123265863088
"179","179",6213,6398,6497,185,99,284,0.0457106067922099
"180","180",10482,10443,9846,-39,-597,-636,-0.0606754436176302
"181","181",2707,2467,2546,-240,79,-161,-0.0594754340598448
"182","182",4949,5564,4898,615,-666,-51,-0.0103051121438674
"183","183",10118,9595,9198,-523,-397,-920,-0.0909270606839296
"184","184",4881,5489,5120,608,-369,239,0.0489653759475517
"185","185",14100,11630,11615,-2470,-15,-2485,-0.176241134751773
"186","186",2507,1993,2265,-514,272,-242,-0.0965297167929797
"187","187",6157,6205,5922,48,-283,-235,-0.0381679389312977
"188","188",9873,9255,9166,-618,-89,-707,-0.0716094398865593
"189","189",7769,9376,9322,1607,-54,1553,0.199897026644356
"190","190",5979,4723,4817,-1256,94,-1162,-0.194346880749289
"191","191",4262,4560,4550,298,-10,288,0.0675739089629282
"192","192",6204,7911,6602,1707,-1309,398,0.0641521598968408
"193","193",13732,13358,11524,-374,-1834,-2208,-0.160792309933003
"195","195",3967,4141,3847,174,-294,-120,-0.0302495588605999
"196","196",3474,3018,3013,-456,-5,-461,-0.132700057570524
"198","198",12436,12252,10928,-184,-1324,-1508,-0.121260855580573
"199","199",13449,10548,9781,-2901,-767,-3668,-0.272734032270057
"201","201",9418,9477,9970,59,493,552,0.0586111700998089
"204","204",3630,3855,3447,225,-408,-183,-0.0504132231404959
"205","205",10868,10162,8970,-706,-1192,-1898,-0.174641148325359
"206","206",11012,10664,10124,-348,-540,-888,-0.0806393025790047
"207","207",7098,7265,7079,167,-186,-19,-0.00267681036911806
"210","210",9963,9908,9784,-55,-124,-179,-0.0179664759610559
"211","211",14326,13039,12532,-1287,-507,-1794,-0.125226860254083
"214","214",8140,8349,7944,209,-405,-196,-0.0240786240786241
"216","216",7631,7738,7488,107,-250,-143,-0.0187393526405451
"217","217",1427,1690,1893,263,203,466,0.32655921513665
"218","218",6153,6744,7263,591,519,1110,0.180399804973184
"219","219",7629,7895,7090,266,-805,-539,-0.0706514615283786
"220","220",4969,4548,4765,-421,217,-204,-0.041054538136446
"221","221",2610,2624,2536,14,-88,-74,-0.0283524904214559
"222","222",3498,3104,3077,-394,-27,-421,-0.120354488279017
"223","223",8879,9707,9760,828,53,881,0.0992228854600743
"225","225",13933,13551,13073,-382,-478,-860,-0.0617239646881504
"226","226",1692,1105,1211,-587,106,-481,-0.284278959810875
"227","227",12687,11319,11209,-1368,-110,-1478,-0.116497201860172
"228","228",13828,15426,13292,1598,-2134,-536,-0.0387619323112525
"230","230",2581,2216,2453,-365,237,-128,-0.0495931809376211
"231","231",6361,4539,4233,-1822,-306,-2128,-0.334538594560604
"233","233",10877,11506,11104,629,-402,227,0.0208697251080261
"235","235",10874,9712,8650,-1162,-1062,-2224,-0.204524553981975
"238","238",6377,6764,6351,387,-413,-26,-0.00407715226595578
"240","240",8300,7855,7704,-445,-151,-596,-0.0718072289156627
"241","241",11451,9289,8882,-2162,-407,-2569,-0.22434721858353
"243","243",7282,8027,6978,745,-1049,-304,-0.0417467728645976
"245","245",5150,4117,4162,-1033,45,-988,-0.191844660194175
"246","246",7683,7384,7078,-299,-306,-605,-0.0787452817909671
"247","247",5959,5688,6041,-271,353,82,0.0137606981037087
"248","248",8759,8236,8354,-523,118,-405,-0.0462381550405297
"249","249",3825,4560,4495,735,-65,670,0.17516339869281
"250","250",13362,12764,11324,-598,-1440,-2038,-0.152522077533303
"251","251",14881,13888,14319,-993,431,-562,-0.0377662791479067
"252","252",12727,12066,12143,-661,77,-584,-0.0458866975720908
"254","254",10039,9381,8523,-658,-858,-1516,-0.151011056878175
"255","255",7630,7207,7995,-423,788,365,0.0478374836173001
"256","256",8461,8513,8364,52,-149,-97,-0.0114643659141945
"257","257",14266,12246,12115,-2020,-131,-2151,-0.150778073741764
"258","258",3414,3258,3179,-156,-79,-235,-0.0688342120679555
"259","259",1984,1915,2067,-69,152,83,0.0418346774193548
"261","261",4331,4343,4242,12,-101,-89,-0.020549526668206
"262","262",10706,10747,10768,41,21,62,0.00579114515225107
"265","265",9262,9885,9645,623,-240,383,0.0413517598790758
"266","266",8536,9388,8647,852,-741,111,0.0130037488284911
"267","267",4789,4752,4547,-37,-205,-242,-0.0505324702443099
"268","268",6180,5671,5639,-509,-32,-541,-0.0875404530744337
"269","269",8873,8816,8819,-57,3,-54,-0.00608587850783275
"270","270",4146,3109,3107,-1037,-2,-1039,-0.250602990834539
"271","271",12761,12139,11975,-622,-164,-786,-0.0615939189718674
"273","273",7151,6965,6877,-186,-88,-274,-0.0383163193958887
"274","274",8831,8069,7312,-762,-757,-1519,-0.172007700147209
"276","276",10008,9275,9506,-733,231,-502,-0.0501598721023181
"277","277",10402,9491,9665,-911,174,-737,-0.0708517592770621
"278","278",8494,8345,8701,-149,356,207,0.0243701436307982
"279","279",7760,7748,7494,-12,-254,-266,-0.0342783505154639
"280","280",14398,14478,13438,80,-1040,-960,-0.0666759272121128
"281","281",6856,7083,6949,227,-134,93,0.0135647607934656
"283","283",9548,9749,8238,201,-1511,-1310,-0.13720150816925
"284","284",10367,9293,8385,-1074,-908,-1982,-0.191183563229478
"285","285",6170,5466,4827,-704,-639,-1343,-0.217666126418152
"286","286",3013,2919,2989,-94,70,-24,-0.00796548290740126
"287","287",15176,15280,14203,104,-1077,-973,-0.0641143911439114
"288","288",5134,5983,5526,849,-457,392,0.0763537202960654
"290","290",7704,8043,6952,339,-1091,-752,-0.0976116303219107
"292","292",13495,14170,13463,675,-707,-32,-0.00237124861059652
"293","293",11259,12020,11617,761,-403,358,0.0317967847943867
"294","294",5928,5727,5466,-201,-261,-462,-0.0779352226720648
"295","295",9876,9320,10827,-556,1507,951,0.0962940461725395
"296","296",10831,12757,10596,1926,-2161,-235,-0.0216969808881913
"297","297",11295,10999,11064,-296,65,-231,-0.0204515272244356
"298","298",17426,15575,13882,-1851,-1693,-3544,-0.203374268334672
"300","300",8755,8178,7898,-577,-280,-857,-0.0978869217589949
"302","302",8803,7771,8371,-1032,600,-432,-0.0490741792570714
"303","303",12598,11885,11906,-713,21,-692,-0.054929353865693
"306","306",8342,8070,7994,-272,-76,-348,-0.0417166147206905
"308","308",12518,10820,10133,-1698,-687,-2385,-0.190525643073973
"309","309",13380,13331,12014,-49,-1317,-1366,-0.102092675635277
"310","310",13248,13701,13160,453,-541,-88,-0.00664251207729469
"311","311",3007,3049,2845,42,-204,-162,-0.0538742933155969
"312","312",2058,1729,1724,-329,-5,-334,-0.162293488824101
"313","313",5103,4591,9111,-512,4520,4008,0.785420340975897
"314","314",13106,10327,10740,-2779,413,-2366,-0.18052800244163
"316","316",12979,12403,12613,-576,210,-366,-0.028199399029201
"318","318",13256,11658,11476,-1598,-182,-1780,-0.134278817139409
"319","319",9415,8000,8124,-1415,124,-1291,-0.137121614445035
"320","320",11351,8227,8589,-3124,362,-2762,-0.243326579156021
"321","321",5503,4084,4094,-1419,10,-1409,-0.25604215882246
"323","323",4575,4399,4072,-176,-327,-503,-0.109945355191257
"324","324",7057,5669,5773,-1388,104,-1284,-0.181947002975769
"325","325",1422,1361,1364,-61,3,-58,-0.0407876230661041
"326","326",10922,10314,9361,-608,-953,-1561,-0.142922541659037
"327","327",10311,9213,9246,-1098,33,-1065,-0.103287750945592
"329","329",9109,10179,9105,1070,-1074,-4,-0.000439126138983423
"330","330",6262,5842,5856,-420,14,-406,-0.0648355158096455
"332","332",3938,3608,3504,-330,-104,-434,-0.110208227526663
"333","333",4327,3765,3717,-562,-48,-610,-0.140975271550728
"334","334",11745,9624,9927,-2121,303,-1818,-0.154789272030651
"336","336",12130,12039,11720,-91,-319,-410,-0.033800494641385
"337","337",7007,5191,5437,-1816,246,-1570,-0.224061652633081
"338","338",8485,6101,5611,-2384,-490,-2874,-0.338715380082499
"341","341",13915,12706,11446,-1209,-1260,-2469,-0.177434423284226
"342","342",4321,4318,4202,-3,-116,-119,-0.0275399213145105
"343","343",9067,7949,7669,-1118,-280,-1398,-0.154185507885739
"344","344",3895,2972,2897,-923,-75,-998,-0.256225930680359
"345","345",8701,7490,7804,-1211,314,-897,-0.10309159866682
"347","347",12114,11436,11587,-678,151,-527,-0.0435033845137857
"349","349",6744,6491,6480,-253,-11,-264,-0.0391459074733096
"350","350",10855,10646,10212,-209,-434,-643,-0.0592353754030401
"351","351",7423,7507,6676,84,-831,-747,-0.10063316718308
"353","353",11513,11350,10442,-163,-908,-1071,-0.0930252757752106
"354","354",4522,3334,3330,-1188,-4,-1192,-0.26360017691287
"355","355",5638,5576,5377,-62,-199,-261,-0.0462930117062788
"356","356",12111,11781,11586,-330,-195,-525,-0.0433490215506564
"357","357",11125,11526,10133,401,-1393,-992,-0.0891685393258427
"358","358",7144,8004,7007,860,-997,-137,-0.0191769316909295
"359","359",11071,9936,9081,-1135,-855,-1990,-0.179748893505555
"360","360",6528,5624,5723,-904,99,-805,-0.123314950980392
"365","365",3405,3646,3570,241,-76,165,0.0484581497797357
"366","366",15197,13286,11861,-1911,-1425,-3336,-0.219517009936172
"368","368",13105,12371,11930,-734,-441,-1175,-0.0896604349484929
"369","369",9361,8956,8753,-405,-203,-608,-0.064950325819891
"370","370",10762,9638,8466,-1124,-1172,-2296,-0.213343244750046
"372","372",6182,5884,5630,-298,-254,-552,-0.0892914914267227
"373","373",3751,2803,3074,-948,271,-677,-0.180485203945615
"374","374",4399,3740,3635,-659,-105,-764,-0.17367583541714
"376","376",2838,2048,2175,-790,127,-663,-0.233615221987315
"378","378",11588,9347,9155,-2241,-192,-2433,-0.209958577839144
"379","379",7330,6758,6553,-572,-205,-777,-0.10600272851296
"381","381",11768,10496,10298,-1272,-198,-1470,-0.124915023793338
