"city","year","lts","found_routes","access_15min_vol"
"munich",16,3,19984,104574716
"munich",16,4,20000,129710924
"munich",21,3,19949,98512387
"munich",21,4,19976,123522014
"munich",26,3,19966,76783225
"munich",26,4,19985,101887384
"munich",16,1,19892,619539243
"munich",16,2,19929,627007160
"munich",19,1,19909,613258110
"munich",19,2,19946,627648409
"munich",21,1,19946,618851389
"munich",21,2,19946,629974507
"munich",24,1,19971,569887363
"munich",24,2,19971,581644784
"munich",26,1,19931,516907454
"munich",26,2,19931,526455102
