"city","year","lts","found_routes","access_15min_vol"
"beijing",16,3,19985,132405746
"beijing",16,4,20000,266831751
"beijing",21,3,19994,132336925
"beijing",21,4,20000,266464663
"beijing",26,3,19866,114203660
"beijing",26,4,19897,271088861
"beijing",16,1,19908,841230103
"beijing",16,2,19909,844618608
"beijing",19,1,19910,738274636
"beijing",19,2,19911,742067425
"beijing",21,1,19916,641574622
"beijing",21,2,19920,650146859
"beijing",24,1,19894,635531853
"beijing",24,2,19905,654861482
"beijing",26,1,19794,614008459
"beijing",26,2,19814,639941960
