"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"5028","5028",1364.33690860407,915.463,0,10.737,0,66.37,0,18.34,15.29,0,NA,NA,40.7,40.7,NA,NA,NA,NA,NA,NA,NA,NA,4284,4284,NA,NA,NA,NA,NA,NA
"5029","5029",1080.46781668185,0,0,0,0,55.79,0,33.6,10.61,0,NA,NA,23.5,23.5,23.5,23.5,NA,NA,NA,NA,NA,NA,2476,2476,2476,2476,NA,NA,NA,NA
"5030","5030",4013.91261895962,0,0,0,0,46.84,0,27.03,26.13,0,NA,NA,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6160,NA,NA,NA,NA,NA,NA,NA
"5031","5031",6647.75127271772,1284.354,0,0,0,52.11,0,30.2,17.7,0,NA,NA,107.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9835,NA,NA,NA,NA,NA,NA,NA
"5032","5032",2861.63003156815,0,0,0,0,21.79,0,52.48,25.73,0,NA,NA,64.2,64.2,NA,NA,NA,NA,NA,NA,NA,NA,4630,4630,NA,NA,NA,NA,NA,NA
"5033","5033",994.446475233056,0,0,0,0,54.04,0,45.96,0,0,NA,NA,18.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,1925,1925,NA,NA,NA,NA,NA,NA
"5034","5034",3024.25818361992,65.323,0,0,0,65.81,0,30.82,3.37,0,NA,NA,57.5,57.5,NA,NA,NA,NA,NA,NA,NA,NA,6420,6420,NA,NA,NA,NA,NA,NA
"5035","5035",1487.20161845797,116.751,0,0,0,0,0,16.14,83.86,0,NA,NA,29.4,29.4,29.4,29.4,NA,NA,NA,NA,NA,NA,1935,1935,1935,1935,NA,NA,NA,NA
"5037","5037",1234.4822753661,0,0,0,0,38.55,0,61.45,0,0,NA,NA,17.6,17.6,NA,NA,NA,NA,NA,NA,NA,NA,1518,1518,NA,NA,NA,NA,NA,NA
"5038","5038",2110.64945185824,0,0,0,0,52.36,0,39.73,7.91,0,NA,NA,28.3,28.3,NA,NA,NA,NA,NA,NA,NA,NA,2977,2977,NA,NA,NA,NA,NA,NA
"5039","5039",1150.26228007281,0,0,0,117.803,50.95,0,36.04,13,0,NA,NA,50.5,50.5,NA,NA,NA,NA,NA,NA,NA,NA,5129,5129,NA,NA,NA,NA,NA,NA
"504","504",1614.44180262672,170.408,501.597,0,0,23.45,0,18.05,58.5,0,NA,NA,29.1,29.1,29.1,29.1,NA,NA,NA,NA,NA,NA,2401,2401,2401,2401,NA,NA,NA,NA
"5040","5040",761.64925125712,0,0,0,0,22.96,0,77.04,0,0,NA,NA,12.8,12.8,12.8,12.8,NA,NA,NA,NA,NA,NA,1304,1304,1304,1304,NA,NA,NA,NA
"5041","5041",5850.18073061934,89.007,0,0,117.803,63.01,0,19.23,17.75,1,NA,NA,91.7,91.7,NA,NA,NA,NA,NA,NA,NA,NA,10002,10002,NA,NA,NA,NA,NA,NA
"5042","5042",3335.33970681018,1336.693,0,0,0,55.96,0,32.96,11.08,1,NA,NA,52.7,52.7,NA,NA,NA,NA,NA,NA,NA,NA,5295,5295,NA,NA,NA,NA,NA,NA
"5043","5043",843.908633590856,0,0,0,0,61.01,0,38.99,0,0,NA,NA,33.7,33.7,NA,NA,NA,NA,NA,NA,NA,NA,4036,4036,NA,NA,NA,NA,NA,NA
"5044","5044",431.673709643349,0,0,0,0,4.24,0,25.45,70.31,0,NA,NA,16.2,16.2,NA,NA,NA,NA,NA,NA,NA,NA,1538,1538,NA,NA,NA,NA,NA,NA
"5046","5046",1783.36537002936,0,0,0,0,97.56,0,2.44,0,0,NA,NA,25.3,25.3,NA,NA,NA,NA,NA,NA,NA,NA,3019,3019,NA,NA,NA,NA,NA,NA
"5047","5047",1662.61580163443,449.205,0,0,0,83.78,0,8.8,7.42,0,NA,NA,18.5,18.5,18.5,18.5,NA,NA,NA,NA,NA,NA,2693,2693,2693,2693,NA,NA,NA,NA
"5048","5048",2798.56941436609,0,0,0,0,31.43,0,24.69,43.88,0,NA,NA,54,54,NA,NA,NA,NA,NA,NA,NA,NA,3949,3949,NA,NA,NA,NA,NA,NA
"5049","5049",616.411237906847,0,0,0,0,82.1,0,17.9,0,0,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,1099,NA,1099,NA,NA,NA,NA,NA
"505","505",1486.33953490986,0,0,0,0,27.91,0,51.98,20.12,0,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,NA,1992,1992,NA,NA,NA,NA,NA,NA
"5052","5052",560.338483903587,0,0,0,0,73.92,0,26.08,0,0,NA,NA,6.8,6.8,6.8,6.8,NA,NA,NA,NA,NA,NA,1180,1180,1180,1180,NA,NA,NA,NA
"5053","5053",1209.27839201456,0,0,0,0,100,0,0,0,0,NA,NA,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,2039,2039,NA,NA,NA,NA,NA,NA
"5054","5054",1761.67129077145,276.646,0,0,0,96.68,0,0,3.32,0,NA,NA,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,2039,2039,NA,NA,NA,NA,NA,NA
"5055","5055",1799.95621509552,0,0,0,0,4.85,0,62.58,32.57,0,NA,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,2436,2436,NA,NA,NA,NA,NA,NA
"5056","5056",1691.90018436526,0,0,0,0,1.34,0,80.51,18.15,0,NA,NA,36.9,36.9,NA,NA,NA,NA,NA,NA,NA,NA,2539,2539,NA,NA,NA,NA,NA,NA
"5057","5057",2140.34767971187,301.606,0,0,0,11.19,0,51.25,37.56,1,NA,NA,58.6,58.6,58.6,58.6,NA,NA,NA,NA,NA,NA,4333,4333,4333,4333,NA,NA,NA,NA
