"city","year","lts","found_routes","access_15min_vol"
"nantes",16,3,19958,76626559
"nantes",16,4,20000,117348469
"nantes",21,3,19985,77431133
"nantes",21,4,20000,113572657
"nantes",26,3,19736,75440220
"nantes",26,4,19742,104706389
"nantes",16,1,19755,379419513
"nantes",16,2,19802,409057475
"nantes",19,1,19765,422553977
"nantes",19,2,19813,460568391
"nantes",21,1,19774,366360992
"nantes",21,2,19853,433942339
"nantes",24,1,19868,409595889
"nantes",24,2,19886,463719708
"nantes",26,1,19514,436736245
"nantes",26,2,19525,493516443
