"city","road_km","sep_from","paint_from","mixed_from","foot_from","total_from","sep_to","paint_to","mixed_to","foot_to","total_to","period","n_years","yr_from","yr_to","d_sep","d_paint","d_mixed","d_foot","d_total","a_sep","a_paint","a_mixed","a_foot","a_total","new_total","share_new_sep","share_new_paint","share_new_mixed","share_new_foot","pct_road_sep","pct_road_paint","pct_road_mixed","pct_road_foot"
"Curitiba",5958.49997,87.692,6.226,0,3.233,97.151,92.95,18.276,0,9.425,120.651,"2016→2019",3,2016,2019,5.25800000000001,12.05,0,6.192,23.5,1.75266666666667,4.01666666666667,0,2.064,7.83333333333333,23.5,0.223744680851064,0.512765957446809,0,0.263489361702128,1.55995637271103,0.306721491852252,0,0.158177394435734
"Dublin",3772.155521,49.604,76.124,3.603,7.654,136.985,54.779,80.552,7.257,7.215,149.802,"2016→2019",3,2016,2019,5.175,4.42800000000001,3.654,-0.439,12.817,1.725,1.476,1.218,-0.146333333333333,4.27233333333333,12.817,0.403760630412734,0.345478661153157,0.285090114691426,-0.034251384879457,1.45219357195215,2.13543687558899,0.192383372307941,0.19126995055833
"Gent",3615.64971,194.218,60.913,0.473,11.886,267.49,204.359,73.29,7.356,27.235,312.241,"2016→2019",3,2016,2019,10.141,12.377,6.883,15.349,44.751,3.38033333333334,4.12566666666667,2.29433333333333,5.11633333333333,14.917,44.751,0.22660946124109,0.276574825143573,0.153806618846506,0.342986748899466,5.65206854620881,2.02702158334912,0.203448912090546,0.75325327906281
"Glasgow",3693.22295,81.53,20.617,0,33.674,135.82,79.407,22.023,0.18,37.575,139.185,"2016→2019",3,2016,2019,-2.123,1.406,0.18,3.901,3.36500000000001,-0.707666666666668,0.468666666666666,0.06,1.30033333333333,1.12166666666667,3.36500000000001,-0.630906389301634,0.41783060921248,0.0534918276374441,1.1592867756315,2.15007328490689,0.596308435698419,0.00487379187330134,1.01740405355165
"Graz",4206.787552,96.464,25.507,0.198,3.569,125.738,101.116,26.221,0.494,6.323,134.154,"2016→2019",3,2016,2019,4.652,0.713999999999999,0.296,2.754,8.416,1.55066666666667,0.238,0.0986666666666667,0.918,2.80533333333333,8.416,0.552756653992396,0.084838403041825,0.035171102661597,0.327233840304183,2.40363932692363,0.623302215191113,0.0117429272073685,0.150304714032776
"Hamburg",3622.046369,268.639,27.26,3.083,63.136,362.119,236.764,49.679,9.756,108.834,405.033,"2016→2019",3,2016,2019,-31.875,22.419,6.673,45.698,42.914,-10.625,7.473,2.22433333333333,15.2326666666667,14.3046666666667,42.914,-0.742764598965373,0.52241692687701,0.155497040592814,1.06487393391434,6.53674679668354,1.3715727226793,0.269350499858275,3.00476550856657
"Helsinki",2557.463839,292.687,3.138,0,7.089,302.915,308.631,9.754,0.045,6.686,325.117,"2016→2019",3,2016,2019,15.944,6.616,0.045,-0.403,22.202,5.31466666666665,2.20533333333333,0.015,-0.134333333333333,7.40066666666667,22.202,0.718133501486351,0.297991171966489,0.00202684442842987,-0.018151517881272,12.0678539142387,0.381393466889211,0.00175955567049564,0.26143087139853
"Kyoto",6985.417005,14.401,1.352,0,2.199,17.952,28.926,2.067,0,6.232,37.225,"2016→2019",3,2016,2019,14.525,0.715,0,4.033,19.273,4.84166666666667,0.238333333333333,0,1.34433333333333,6.42433333333333,19.273,0.753644995589685,0.0370985316245525,0,0.209256472785762,0.414091241500621,0.0295902162822991,0,0.0892144305134436
"Leeds",3450.957609,29.312,8.49,0.537,10.961,49.3,45.546,6.215,1.562,12.181,65.504,"2016→2019",3,2016,2019,16.234,-2.275,1.025,1.22,16.204,5.41133333333333,-0.758333333333333,0.341666666666667,0.406666666666666,5.40133333333334,16.204,1.00185139471735,-0.140397432732659,0.0632559861762527,0.075290051839052,1.3198075769235,0.180094938975531,0.0452627988221689,0.352974489406427
"London",5905.711539,76.6,64.236,38.265,20.863,199.965,128.1,65.947,49.863,16.984,260.894,"2016→2019",3,2016,2019,51.5,1.711,11.598,-3.879,60.929,17.1666666666667,0.570333333333333,3.866,-1.293,20.3096666666667,60.929,0.845246106123521,0.0280818657782008,0.190352705608167,-0.0636642649641385,2.1690866401797,1.11666476705645,0.844318244646998,0.287586007000875
"Lyon",4863.741616,109.461,134.467,31.922,31.063,306.914,110.393,152.819,38.259,33.536,335.007,"2016→2019",3,2016,2019,0.932000000000002,18.352,6.337,2.473,28.093,0.310666666666667,6.11733333333332,2.11233333333333,0.824333333333334,9.36433333333334,28.093,0.033175524151924,0.653258818922862,0.225572206599509,0.088029046381661,2.26971349869503,3.14200490209593,0.786616621946802,0.689510312177735
"Madrid",6874.129028,144.233,8.591,26.278,18.72,197.821,148.665,21.632,68.49,24.622,263.409,"2016→2019",3,2016,2019,4.43199999999999,13.041,42.212,5.902,65.588,1.47733333333333,4.347,14.0706666666667,1.96733333333333,21.8626666666667,65.588,0.0675733365859607,0.198832103433555,0.643593340245167,0.0899859730438495,2.16267398232491,0.314687139445413,0.996344405538848,0.358183558960104
"Melbourne",7403.89433,246.223,322.488,1.514,19.587,589.812,252.456,330.466,23.911,25.001,631.833,"2016→2019",3,2016,2019,6.23299999999998,7.97800000000001,22.397,5.414,42.021,2.07766666666666,2.65933333333334,7.46566666666667,1.80466666666667,14.007,42.021,0.148330596606458,0.189857452226268,0.532995407058376,0.128840341733895,3.4097731375915,4.46340784012783,0.322951664816643,0.337673646944121
"Mexico City",11381.823164,117.392,13.891,5.017,3.444,139.743,187.396,31.769,10.801,9.04,239.007,"2016→2019",3,2016,2019,70.004,17.878,5.784,5.596,99.264,23.3346666666667,5.95933333333333,1.928,1.86533333333333,33.088,99.264,0.705230496453901,0.180105577047066,0.0582688588007737,0.0563749194068343,1.64644975853009,0.279120484848889,0.0948969233168452,0.079424885361011
"Milan",4607.478315,115.172,19.404,4.518,61.671,200.765,149.391,19.682,4.531,69.053,242.657,"2016→2019",3,2016,2019,34.219,0.277999999999999,0.0129999999999999,7.382,41.892,11.4063333333333,0.0926666666666662,0.0043333333333333,2.46066666666667,13.964,41.892,0.816838537190871,0.00663611190680795,0.000310321779814759,0.176215029122505,3.24235926436476,0.42717509783874,0.0983401264255326,1.4987156808789
"Minneapolis",7155.156985,122.625,124.34,5.504,36.071,288.54,154.692,174.683,47.022,37.827,414.224,"2016→2019",3,2016,2019,32.067,50.343,41.518,1.756,125.684,10.689,16.781,13.8393333333333,0.585333333333333,41.8946666666667,125.684,0.255139874606155,0.400552178479361,0.330336399223449,0.0139715476910347,2.1619651438018,2.44135803541702,0.657176356837124,0.528667645997148
"Montpellier",4766.749523,165.165,34.811,0,12.729,212.705,168.048,38.479,0,21.252,227.78,"2016→2019",3,2016,2019,2.88300000000001,3.668,0,8.523,15.075,0.961000000000003,1.22266666666667,0,2.841,5.025,15.075,0.191243781094528,0.243316749585406,0,0.565373134328359,3.52542123703276,0.807237716484479,0,0.445838404083478
"Montréal",5219.723688,113.653,95.967,12.447,6.835,228.901,128.273,109.874,36.849,13.177,288.173,"2016→2019",3,2016,2019,14.62,13.907,24.402,6.342,59.272,4.87333333333333,4.63566666666667,8.134,2.114,19.7573333333333,59.272,0.246659468214334,0.234630179511405,0.411695235524362,0.106998245377244,2.45746724668388,2.10497732384948,0.705956908882262,0.252446313016407
"Nantes",4838.7651,82.764,197.599,27.243,83.41,391.017,91.735,201.763,24.37,90.459,408.326,"2016→2019",3,2016,2019,8.971,4.16400000000002,-2.873,7.04900000000001,17.309,2.99033333333333,1.38800000000001,-0.957666666666666,2.34966666666667,5.76966666666668,17.309,0.518285285111791,0.240568490380727,-0.165983014616673,0.407244785949506,1.89583495177313,4.1697209066834,0.503640897963821,1.86946458715262
"New York",3446.345994,108.054,198.613,37.017,39.383,383.066,151.275,201.435,68.391,16.154,437.255,"2016→2019",3,2016,2019,43.221,2.822,31.374,-23.229,54.189,14.407,0.940666666666668,10.458,-7.743,18.063,54.189,0.797597298344682,0.0520769897949769,0.578973592426507,-0.428666334495931,4.38943159692515,5.84488615915794,1.98444962052757,0.46872832931237
"Oslo",2888.79594,87.416,51.246,0,35.514,174.176,93.961,56.3,0,27.665,177.925,"2016→2019",3,2016,2019,6.545,5.05399999999999,0,-7.849,3.74900000000002,2.18166666666667,1.68466666666666,0,-2.61633333333333,1.24966666666667,3.74900000000002,1.74579887970124,1.34809282475326,0,-2.09362496665776,3.25260080502606,1.94890885923912,0,0.957665427901425
"Paris",5702.285482,217.643,129.186,136.643,19.92,503.393,236.707,161.873,152.699,24.699,575.978,"2016→2019",3,2016,2019,19.064,32.687,16.056,4.779,72.585,6.35466666666666,10.8956666666667,5.352,1.593,24.195,72.585,0.26264379692774,0.450327202590067,0.22120272783633,0.0658400495970242,4.15108995765288,2.83873896722591,2.67785610667888,0.433142116050934
"Portland",5689.020449,11.177,150.336,101.37,75.452,338.336,10.747,158.971,124.7,82.414,376.833,"2016→2019",3,2016,2019,-0.43,8.63499999999999,23.33,6.962,38.497,-0.143333333333333,2.87833333333333,7.77666666666667,2.32066666666667,12.8323333333333,38.497,-0.0111697015351845,0.224303192456555,0.606021248408967,0.180845260669663,0.188907740732222,2.79434748785168,2.19194149709761,1.44865009255656
"San Francisco",4433.829715,38.689,120.648,16.304,10.634,186.274,47.524,146.26,134.455,23.3,351.539,"2016→2019",3,2016,2019,8.835,25.612,118.151,12.666,165.265,2.945,8.53733333333333,39.3836666666667,4.222,55.0883333333333,165.265,0.053459595195595,0.154975342631531,0.714918464284634,0.0766405470002723,1.07184991429018,3.29872839963138,3.03248001485325,0.525505071184268
"Santiago",9269.127248,132.656,34.847,0,2.413,169.916,152.479,28.955,0.468,4.302,186.205,"2016→2019",3,2016,2019,19.823,-5.892,0.468,1.889,16.289,6.60766666666667,-1.964,0.156,0.629666666666667,5.42966666666667,16.289,1.21695622812941,-0.361716495794708,0.028731045490822,0.11596783105163,1.6450200317716,0.312381082115877,0.00504901904438717,0.0464121366003282
"Sao Paulo",9994.112089,87.96,43.95,0.726,15.46,148.095,99.755,165.371,1.231,26.578,292.936,"2016→2019",3,2016,2019,11.795,121.421,0.505,11.118,144.841,3.93166666666667,40.4736666666667,0.168333333333333,3.706,48.2803333333333,144.841,0.0814341243156289,0.8383054521855,0.00348658183801548,0.0767600334159527,0.99813769459115,1.65468426336758,0.0123172522885239,0.265936581092111
"Seattle",3968.229911,49.342,73.651,97.067,12.545,232.604,54.396,72.968,110.194,14.741,252.3,"2016→2019",3,2016,2019,5.054,-0.682999999999993,13.127,2.196,19.696,1.68466666666667,-0.227666666666664,4.37566666666667,0.732,6.56533333333333,19.696,0.256600324939074,-0.034677091795288,0.666480503655565,0.111494719740049,1.37078751030058,1.83880474762139,2.77690563479047,0.371475452043182
"Seoul",8438.486004,78.996,0,0,0.108,79.104,135.767,11.979,25.341,14.586,187.674,"2016→2019",3,2016,2019,56.771,11.979,25.341,14.478,108.57,18.9236666666667,3.993,8.447,4.826,36.19,108.57,0.52289766970618,0.110334346504559,0.233407018513401,0.13335175462835,1.60890235447027,0.141956744306049,0.300302684486149,0.172850911799652
"Seville",4859.24118,180.51,3.909,2.011,9.188,195.618,192.333,4.315,0,17.815,214.462,"2016→2019",3,2016,2019,11.823,0.406000000000001,-2.011,8.627,18.844,3.941,0.135333333333334,-0.670333333333333,2.87566666666667,6.28133333333333,18.844,0.627414561664191,0.0215453194650818,-0.106718318828274,0.457811504988325,3.95808713491352,0.0887998730698936,0,0.366621028676745
"Shanghai",4775.348916,42.194,311.302,0.101,2.41,356.007,79.75,394.584,0.39,3.93,478.654,"2016→2019",3,2016,2019,37.556,83.282,0.289,1.52,122.647,12.5186666666667,27.7606666666667,0.0963333333333333,0.506666666666667,40.8823333333333,122.647,0.306212137272008,0.67903821536605,0.00235635604621393,0.0123932913157273,1.67003503624195,8.2629354826394,0.00816694249698256,0.0822976513157473
"Strasbourg",3941.406902,234.443,61.232,0,18.88,314.555,255.29,77.908,0.554,34.519,368.271,"2016→2019",3,2016,2019,20.847,16.676,0.554,15.639,53.716,6.94899999999999,5.55866666666667,0.184666666666667,5.213,17.9053333333333,53.716,0.388096656489686,0.310447538908333,0.0103135006329585,0.291142303969022,6.47712876004904,1.97665457886287,0.0140558946024802,0.87580401765887
"Sydney",5888.098726,143.682,46.808,10.922,39.705,241.117,151.908,53.671,106.643,60.628,372.85,"2016→2019",3,2016,2019,8.226,6.863,95.721,20.923,131.733,2.742,2.28766666666667,31.907,6.97433333333333,43.911,131.733,0.0624444899911184,0.0520978038912042,0.726628862927285,0.158828843190393,2.57991598084492,0.911516645653472,1.81116188709775,1.0296702351862
"Taipei",7434.454635,186.188,3.243,47.816,10.343,247.589,200.576,4.721,56.027,127.463,388.787,"2016→2019",3,2016,2019,14.388,1.478,8.211,117.12,141.198,4.796,0.492666666666667,2.737,39.04,47.066,141.198,0.101899460332299,0.0104675703621864,0.0581523817617813,0.829473505290443,2.69792486264865,0.0635016316835727,0.753612776601468,1.71449025191341
"Tokyo",11931.712127,18.955,2.191,0,14.758,35.904,20.688,15.96,79.635,22.152,138.435,"2016→2019",3,2016,2019,1.733,13.769,79.635,7.394,102.531,0.577666666666667,4.58966666666667,26.545,2.46466666666667,34.177,102.531,0.016902205186724,0.134291092450088,0.776691927319542,0.0721147750436454,0.173386683988005,0.133761188923461,0.667423075182947,0.185656507332864
"Turin",4440.515554,142.14,2.167,0,34.78,179.087,149.007,2.177,0.796,39.952,191.931,"2016→2019",3,2016,2019,6.86700000000002,0.0100000000000002,0.796,5.172,12.844,2.28900000000001,0.00333333333333341,0.265333333333333,1.724,4.28133333333334,12.844,0.534646527561508,0.000778573653067597,0.0619744627841793,0.402678293366552,3.35562387267792,0.0490258388587101,0.0179258464545399,0.899715348683136
"Vancouver",5135.77616,90.423,57.143,7.774,7.73,163.071,104.765,55.67,8.884,11.653,180.971,"2016→2019",3,2016,2019,14.342,-1.473,1.11,3.923,17.9,4.78066666666667,-0.491,0.37,1.30766666666667,5.96666666666667,17.9,0.801229050279329,-0.082290502793296,0.0620111731843575,0.219162011173184,2.03990588250248,1.08396468743295,0.172982616905952,0.226898518100524
"Vienna",5075.622056,296.052,123.804,11.111,24.812,455.78,295.596,140.62,12.912,38.217,487.345,"2016→2019",3,2016,2019,-0.456000000000017,16.816,1.801,13.405,31.5650000000001,-0.152000000000006,5.60533333333333,0.600333333333333,4.46833333333333,10.5216666666667,31.5650000000001,-0.0144463804847146,0.532741961032789,0.057056866782829,0.424679233328052,5.82383788112375,2.7704978512687,0.254392463771735,0.75295204367754
"Warsaw",4475.274972,160.705,13.911,0,34.416,209.031,201.306,21.367,0,38.007,260.68,"2016→2019",3,2016,2019,40.601,7.456,0,3.591,51.649,13.5336666666667,2.48533333333333,0,1.197,17.2163333333333,51.649,0.786094600089063,0.144359038897171,0,0.0695269995546865,4.49818170412971,0.477445523094888,0,0.849266251521852
"Zurich",5117.170964,67.268,76.184,0,42.516,185.968,50.714,107.42,4.495,87.159,249.788,"2016→2019",3,2016,2019,-16.554,31.236,4.495,44.643,63.82,-5.518,10.412,1.49833333333333,14.881,21.2733333333333,63.82,-0.259385772485114,0.489439047320589,0.0704324663115011,0.699514258853024,0.991055416298966,2.0992067835082,0.0878415052305843,1.70326535136652
"Austin",6885.480351,77.634,171.743,3.277,12.47,265.124,110.378,172.605,22.946,9.097,315.026,"2019→2021",2,2019,2021,32.744,0.861999999999995,19.669,-3.373,49.902,16.372,0.430999999999997,9.8345,-1.6865,24.951,49.902,0.656166085527634,0.017273856759248,0.394152538976394,-0.0675924812632761,1.60305446204591,2.50679678397357,0.333251985777107,0.132118596470598
"Barcelona",4249.662823,196.692,1.566,4.505,17.538,220.3,248.436,1.537,89.727,19.033,358.733,"2019→2021",2,2019,2021,51.744,-0.0290000000000001,85.222,1.495,138.433,25.872,-0.0145000000000001,42.611,0.7475,69.2165,138.433,0.373783707641964,-0.000209487622171015,0.615619108160626,0.0107994481084713,5.84601673938497,0.0361675752645941,2.11139103823438,0.44787082629214
"Beijing",5389.841312,127.019,13.322,12.058,1.068,153.466,133.834,13.531,12.97,2.095,162.43,"2019→2021",2,2019,2021,6.815,0.209000000000001,0.912000000000001,1.027,8.964,3.4075,0.104500000000001,0.456,0.5135,4.482,8.964,0.760263275323516,0.0233154841588578,0.101740294511379,0.114569388665774,2.48307867064714,0.251046352141657,0.240637882438644,0.038869418944407
"Berlin",4577.771303,226.84,151.205,39.81,49.379,467.234,223.772,168.031,46.536,59.201,497.539,"2019→2021",2,2019,2021,-3.06800000000001,16.826,6.726,9.822,30.305,-1.53400000000001,8.413,3.363,4.911,15.1525,30.305,-0.101237419567728,0.555221910575812,0.221943573667712,0.324104933179343,4.88823021485047,3.67058528873827,1.0165645446181,1.29322755728761
"Bogota",8819.87763,199.492,6.88,2.264,16.71,225.346,229.708,9.167,3.493,10.821,253.189,"2019→2021",2,2019,2021,30.216,2.287,1.229,-5.889,27.843,15.108,1.1435,0.6145,-2.9445,13.9215,27.843,1.08522788492619,0.0821391373056065,0.0441403584383867,-0.211507380670187,2.60443522729464,0.103935682382024,0.0396037240711695,0.122688777032386
"Bologna",3509.278694,133.988,2.672,0.47,33.689,170.82,196.527,20.733,6.516,31.806,255.583,"2019→2021",2,2019,2021,62.539,18.061,6.046,-1.883,84.763,31.2695,9.0305,3.023,-0.9415,42.3815,84.763,0.737810129419676,0.213076460247986,0.0713282918254427,-0.0222148814931043,5.60021067394883,0.590805171314786,0.185679182765984,0.906340099302469
"Brussels",4710.396614,124.015,112.19,38.988,31.09,306.283,151.361,121.09,50.121,22.646,345.218,"2019→2021",2,2019,2021,27.346,8.90000000000001,11.133,-8.444,38.935,13.673,4.45,5.5665,-4.222,19.4675,38.935,0.702350070630538,0.228586105046873,0.285938101964813,-0.216874277642224,3.21333875687097,2.57069648105857,1.06405052710493,0.480766310265524
"Buenos Aires",4228.206781,171.559,8.402,0,8.147,188.108,203.917,10.161,0.788,6.995,221.861,"2019→2021",2,2019,2021,32.358,1.759,0.788,-1.152,33.753,16.179,0.8795,0.394,-0.576,16.8765,33.753,0.958670340414186,0.0521138861730809,0.0233460729416645,-0.0341302995289308,4.82277737494599,0.240314642265364,0.0186367422601227,0.16543656359081
"Chicago",7936.823257,10.353,17.045,16.725,10.245,54.368,23.815,20.746,19.236,9.053,72.85,"2019→2021",2,2019,2021,13.462,3.701,2.511,-1.192,18.482,6.731,1.8505,1.2555,-0.595999999999999,9.241,18.482,0.7283843739855,0.200248890812683,0.13586191970566,-0.0644951845038415,0.300057078617645,0.261389214906641,0.242363970786858,0.114063268222781
"Christchurch",4458.445007,80.884,148.403,11.371,46.636,287.294,118.411,153.397,13.973,28.404,314.186,"2019→2021",2,2019,2021,37.527,4.994,2.602,-18.232,26.892,18.7635,2.497,1.301,-9.116,13.446,26.892,1.3954707719768,0.185705786107393,0.0967573999702514,-0.677971143834598,2.65588113824637,3.44059419279947,0.313405233844124,0.637083107572353
"Curitiba",6326.781198,92.95,18.276,0,9.425,120.651,104.217,18.053,0,15.358,137.628,"2019→2021",2,2019,2021,11.267,-0.222999999999999,0,5.933,16.977,5.6335,-0.111499999999999,0,2.9665,8.48849999999999,16.977,0.663662602344348,-0.0131354185073923,0,0.349472816163044,1.64723572284979,0.28534256891493,0,0.24274586901875
"Dublin",4094.194504,54.779,80.552,7.257,7.215,149.802,63.267,80.349,13.241,7.032,163.889,"2019→2021",2,2019,2021,8.488,-0.203000000000003,5.984,-0.183,14.087,4.244,-0.101500000000001,2.992,-0.0914999999999999,7.04350000000001,14.087,0.602541350181017,-0.0144104493504652,0.424788812380208,-0.0129907006459856,1.54528564625321,1.96251057250699,0.323409158677333,0.171755396406541
"Gent",3814.780623,204.359,73.29,7.356,27.235,312.241,229.267,70.415,12.121,30.171,341.974,"2019→2021",2,2019,2021,24.908,-2.875,4.765,2.936,29.733,12.454,-1.4375,2.3825,1.468,14.8665,29.733,0.837722395990986,-0.0966939091245417,0.160259644166414,0.0987455016311842,6.00996551722288,1.84584664123162,0.317737799309358,0.790897379998567
"Glasgow",3760.552129,79.407,22.023,0.18,37.575,139.185,103.435,22.341,0.18,31.277,157.233,"2019→2021",2,2019,2021,24.028,0.318000000000001,0,-6.298,18.048,12.014,0.159000000000001,0,-3.149,9.024,18.048,1.33133865248227,0.0176196808510639,0,-0.348958333333333,2.75052695593148,0.594088294314933,0.00478653117482154,0.831712975304962
"Graz",4562.949959,101.116,26.221,0.494,6.323,134.154,104.849,26.262,1.678,10.514,143.302,"2019→2021",2,2019,2021,3.733,0.0410000000000004,1.184,4.191,9.148,1.8665,0.0205000000000002,0.592,2.0955,4.574,9.148,0.408067337122869,0.00448185395714915,0.129427197201574,0.458132925229558,2.29783365897307,0.575548718175193,0.0367744554526683,0.230421111221308
"Hamburg",3840.541469,236.764,49.679,9.756,108.834,405.033,218.556,62.675,13.491,104.126,398.848,"2019→2021",2,2019,2021,-18.208,12.996,3.735,-4.708,-6.185,-9.104,6.498,1.8675,-2.354,-3.0925,0.001,-18208,12996,3735,-4708,5.69076005985447,1.63193134368939,0.351278592065633,2.71123227910653
"Helsinki",2569.286673,308.631,9.754,0.045,6.686,325.117,308.919,15.353,1.002,6.983,332.258,"2019→2021",2,2019,2021,0.288000000000011,5.599,0.957,0.297,7.14099999999996,0.144000000000005,2.7995,0.4785,0.1485,3.57049999999998,7.14099999999996,0.0403304859263426,0.784063856602721,0.134014843859404,0.0415908136115392,12.0235317937213,0.597558854032946,0.0389991514193325,0.271787499362474
"Kyoto",7992.712375,28.926,2.067,0,6.232,37.225,42.417,2.607,0,8.092,53.116,"2019→2021",2,2019,2021,13.491,0.54,0,1.86,15.891,6.7455,0.27,0,0.93,7.9455,15.891,0.848971115725883,0.0339814989616764,0,0.117047385312441,0.53069593912417,0.0326172127518851,0,0.101242226922997
"Leeds",3626.526108,45.546,6.215,1.562,12.181,65.504,72.455,7.205,2.624,7.575,89.858,"2019→2021",2,2019,2021,26.909,0.99,1.062,-4.606,24.354,13.4545,0.495,0.531,-2.303,12.177,24.354,1.10491089759382,0.0406504065040651,0.0436067997043607,-0.189127042785579,1.99791750678884,0.198674979455022,0.0723557454670336,0.208877580759443
"London",6096.428136,128.1,65.947,49.863,16.984,260.894,159.483,69.312,53.295,19.875,301.965,"2019→2021",2,2019,2021,31.383,3.36499999999999,3.432,2.891,41.071,15.6915,1.6825,1.716,1.4455,20.5355,41.071,0.764115799469213,0.0819312897178057,0.0835626110881158,0.0703902997248667,2.6160072167215,1.13692802496442,0.874200413932346,0.326010568100298
"Lyon",5318.733967,110.393,152.819,38.259,33.536,335.007,131.359,189.207,71.232,31.164,422.962,"2019→2021",2,2019,2021,20.966,36.388,32.973,-2.372,87.955,10.483,18.194,16.4865,-1.186,43.9775,87.955,0.23837189471889,0.413711557046217,0.374884884315843,-0.0269683360809505,2.46974187494646,3.55736912532065,1.33926608177731,0.585928910777575
"Madrid",7146.157652,148.665,21.632,68.49,24.622,263.409,160.196,18.566,85.158,13.15,277.07,"2019→2021",2,2019,2021,11.531,-3.066,16.668,-11.472,13.661,5.7655,-1.533,8.334,-5.736,6.8305,13.661,0.844081692409048,-0.22443452163092,1.22011565771173,-0.839762828489862,2.24170817103602,0.259803952055325,1.19166136750659,0.184014971966364
"Melbourne",7644.57655,252.456,330.466,23.911,25.001,631.833,296.875,341.941,34.734,20.855,694.405,"2019→2021",2,2019,2021,44.419,11.475,10.823,-4.146,62.572,22.2095,5.73749999999998,5.4115,-2.073,31.286,62.572,0.70988621108483,0.183388736175925,0.172968740011507,-0.0662596688614716,3.88347213293325,4.472988108151,0.454361334114706,0.272807785540456
