"city","year","lts","found_routes","access_15min_vol"
"canberra",16,1,19867,6287867
"canberra",18,1,19860,6275467
"canberra",20,1,19671,9260692
"canberra",22,1,19752,11452187
"canberra",24,1,19758,11514656
"canberra",26,1,19677,11531968
