"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1002","1002",717.195407203445,385.538,0,0,0,84.21,0,0,15.79,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,1566,1566,NA,NA,NA,NA,NA,NA,NA,NA
"10020","10020",2668.37249090509,0,0,0,0,96.05,0,0,3.95,0,20.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,3499,3499,NA,NA,NA,NA,NA,NA,NA,NA
"10021","10021",2632.02998814298,327.3,198.135,0,0,79.23,0,0,20.77,2,25.1,25.1,NA,NA,NA,NA,NA,NA,NA,NA,3526,3526,NA,NA,NA,NA,NA,NA,NA,NA
"10022","10022",2366.52973381432,661.329,0,0,221.504,94.96,0,0,5.04,1,23.8,23.8,NA,NA,NA,NA,NA,NA,NA,NA,4312,4312,NA,NA,NA,NA,NA,NA,NA,NA
"10023","10023",2326.42828487324,1484.008,0,0,0,85.21,0,0,14.79,0,26.2,26.2,NA,NA,NA,NA,NA,NA,NA,NA,3415,3415,NA,NA,NA,NA,NA,NA,NA,NA
"10024","10024",1789.9518709705,0,0,0,0,100,0,0,0,0,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,2999,2999,NA,NA,NA,NA,NA,NA,NA,NA
"10025","10025",4203.84959639169,241.693,0,0,0,100,0,0,0,1,25.9,25.9,NA,NA,NA,NA,NA,NA,NA,NA,5069,5069,NA,NA,NA,NA,NA,NA,NA,NA
"10026","10026",1149.62671638218,532.909,0,0,107.701,63.44,0,0,36.56,0,26.8,26.8,NA,NA,NA,NA,NA,NA,NA,NA,2512,2512,NA,NA,NA,NA,NA,NA,NA,NA
"10027","10027",1497.6807258939,185.27,0,0,0,100,0,0,0,0,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,2042,2042,NA,NA,NA,NA,NA,NA,NA,NA
"10028","10028",1311.3527529488,1945.621,0,0,0,95.69,0,0,4.31,0,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,2686,2686,NA,NA,NA,NA,NA,NA,NA,NA
