"city","year","lts","found_routes","access_15min_vol"
"milan",16,3,19987,115093411
"milan",16,4,19994,141500337
"milan",21,3,19994,112743763
"milan",21,4,19994,137051984
"milan",26,3,19975,96693113
"milan",26,4,19976,119303374
"milan",16,1,19921,28718568
"milan",16,2,19931,30520141
"milan",19,1,19953,31204383
"milan",19,2,19959,34731266
"milan",21,1,19958,34065452
"milan",21,2,19965,37704069
"milan",24,1,19949,37412508
"milan",24,2,19952,44910724
"milan",26,1,19972,48996937
"milan",26,2,19973,52304199
"milan",18,1,19954,30829789
"milan",20,1,19957,31876267
"milan",22,1,19945,34773837
