"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","pct_lts1_alternative","pct_lts2_alternative","pct_lts3_alternative","pct_lts4_alternative","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Vienna",2018,1,2065500,3340.23,1.5,0,19.37,2.55,51.35,30.95,16.19,1.44,2.77,80.52,4.86,6.33,8.29,95.09,0.87,1.37,2.67,5190651.142,475000,9.15,64.94,4.31,7.71,23.03,300736,132026,14288,27951,2.95,"20260325_183230",20000,84613082
"Vienna",2020,1,2065500,3317.66,1.49,-0.68,19.1,2.6,52.5,29.01,17.77,1.21,4.51,80.67,5.75,5.54,8.04,95.65,0.84,1.09,2.41,5326310.488,494960,9.29,66.69,4.6,6.93,21.79,287061,145169,13307,49424,2.95,"20260325_183230",20000,86182192
"Vienna",2022,1,2065500,3311.09,1.49,-0.87,19.03,2.68,52.79,30.42,16.93,1.83,3.6,81.97,4.57,5.06,8.4,96.03,0.79,1.04,2.14,5529345.112,518889,9.38,68.24,4.48,6.22,21.06,308321,145447,16988,48133,2.95,"20260325_183230",20000,86356790
