"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Santiago","2016",1,2883306,8393.31,1.46,0,11.02,67.03,0.74,10.03,22.16,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,"20260225_214552",14135,2981105
"Santiago","2016",2,2883306,8594.81,1.46,0,12.01,63.48,5.67,10,20.81,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,"20260225_214552",14645,3160484
"Santiago","2016",3,2883306,10161.85,1.43,0,12.02,40.02,4.21,43.04,12.7,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,"20260225_214552",19078,5602204
"Santiago","2016",4,2883306,9269.33,1.27,0,7.53,16.92,1.59,16.79,64.67,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,"20260225_214552",20000,12976673
"Santiago","2021",1,2883306,8814.97,1.46,5.02,10.22,73.13,5.6,3.01,18.22,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,"20260225_214552",15343,3259471
"Santiago","2021",2,2883306,9899.21,1.44,15.18,9.83,53.68,30.83,2.8,12.66,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,"20260225_214552",18309,4893452
"Santiago","2021",3,2883306,10358,1.43,1.93,13.11,41.5,30.52,18.05,9.91,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,"20260225_214552",19476,6017359
"Santiago","2021",4,2883306,9217.3,1.26,-0.56,10.68,17.31,9.8,5.59,67.26,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,"20260225_214552",20000,13632346
"Santiago","2026",1,2883306,8601.39,1.46,2.48,15.43,72.16,5.41,5.51,16.9,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,"20260225_214552",14637,3010163
"Santiago","2026",2,2883306,9674.68,1.45,12.56,17.57,56.47,26.62,4.58,12.31,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,"20260225_214552",17501,4580257
"Santiago","2026",3,2883306,10244.19,1.41,0.81,16.04,36.72,23.8,30.64,8.82,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,"20260225_214552",19609,6423531
"Santiago","2026",4,2883306,9174.2,1.25,-1.03,14.48,15.36,9.16,10.43,65.03,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,"20260225_214552",19974,13653950
