"city","year","lts","found_routes","access_15min_vol"
"santiago",16,3,19078,5602204
"santiago",16,4,20000,12976673
"santiago",21,3,19476,6017359
"santiago",21,4,20000,13632346
"santiago",26,3,19609,6423531
"santiago",26,4,19974,13653950
"santiago",16,1,19917,39896032
"santiago",16,2,19932,43538138
"santiago",19,1,19937,43663355
"santiago",19,2,19976,70310069
"santiago",21,1,19945,43669756
"santiago",21,2,19981,68641990
"santiago",24,1,19903,39431979
"santiago",24,2,19956,68226226
"santiago",26,1,19878,41119190
"santiago",26,2,19922,65013282
