"from_id","to_id","dist_2016","dist_2021"
"1","1",10084,9955
"2","2",10266,10053
"3","3",5602,5835
"5","5",15664,14445
"6","6",8311,7968
"7","7",11571,10928
"8","8",12196,12263
"9","9",17275,17461
"10","10",4145,4729
"11","11",8149,8050
"12","12",8083,6625
"13","13",8076,6927
"14","14",8732,7943
"15","15",12612,11203
"17","17",10146,10202
"18","18",10210,10158
"20","20",3943,2880
"21","21",8712,8502
"22","22",8527,9747
"23","23",15659,16092
"24","24",5688,5874
"25","25",3413,3444
"26","26",12296,12816
"27","27",9449,8737
"28","28",10602,8464
"29","29",12051,9789
"30","30",13649,12625
"31","31",12135,12120
"32","32",11083,9287
"33","33",8755,8486
"34","34",6257,5878
"35","35",14152,14433
"36","36",9118,9096
"37","37",2697,2261
"38","38",14110,12829
"39","39",9574,8384
"40","40",13150,14441
"42","42",14144,13419
"43","43",11952,12769
"46","46",13816,13797
"49","49",15376,14368
"50","50",9450,8675
"51","51",10092,10136
"52","52",6007,5238
"53","53",9894,8731
"54","54",6922,6141
"57","57",12126,12082
"58","58",10211,9901
"59","59",12331,11763
"60","60",8669,6838
"61","61",5433,5810
"62","62",12080,12037
"65","65",3354,2931
"66","66",6575,5939
"67","67",11993,11310
"68","68",7954,7550
"69","69",6275,5735
"70","70",14989,13557
"71","71",9581,10173
"72","72",2160,2302
"73","73",12866,11874
"74","74",13338,13686
"75","75",10399,9041
"76","76",10538,9518
"78","78",5027,5158
"79","79",8324,6935
"80","80",8933,8930
"81","81",6680,6387
"82","82",9507,9409
"83","83",2843,2927
"84","84",12420,10716
"85","85",7979,8607
"86","86",7098,7551
"87","87",15929,13538
"88","88",12823,12664
"89","89",3040,2858
"90","90",10229,10147
"91","91",6048,6420
"92","92",16139,15236
"93","93",9365,8392
"94","94",6307,6263
"95","95",15070,14124
"96","96",9673,8955
"97","97",10696,10783
"99","99",14714,13391
"100","100",9614,10088
"102","102",7384,6518
"103","103",12025,9660
"104","104",7119,7565
"105","105",4203,3835
"107","107",12683,12510
"108","108",11800,13249
"109","109",3603,3779
"110","110",10864,10426
"111","111",4687,5025
"113","113",4687,4631
"114","114",8505,9351
"115","115",3602,3952
"117","117",2868,2584
"118","118",14549,14346
"119","119",13807,13249
"120","120",16593,16700
"121","121",6824,6644
"122","122",9294,8958
"123","123",10450,9650
"124","124",1934,2089
"125","125",3799,3793
"126","126",2273,1637
"127","127",16424,16497
"128","128",11634,11294
"130","130",12654,13306
"131","131",11704,10364
"132","132",12221,11314
"133","133",7993,7783
"134","134",11593,11058
"135","135",10641,11306
"136","136",14057,14954
"137","137",6353,6451
"138","138",10613,10006
"139","139",10698,10116
"140","140",9667,8996
"142","142",12312,13853
"143","143",11048,10336
"145","145",15115,14875
"146","146",6296,5357
"147","147",8945,8292
"148","148",11865,12944
"149","149",11331,10948
"150","150",8215,7469
"151","151",14464,12980
"152","152",8692,8071
"155","155",10434,9698
"157","157",7666,7524
"159","159",11099,11479
"160","160",10321,9191
"161","161",14999,14853
"163","163",8302,7615
"165","165",9371,9823
"166","166",4141,3669
