"city","year","lts","found_routes","access_15min_vol"
"guadalajara",16,1,19932,23902929
"guadalajara",18,1,19989,22970697
"guadalajara",20,1,19987,23555938
"guadalajara",22,1,19985,23087305
"guadalajara",24,1,19980,23835719
"guadalajara",26,1,19992,24893464
