"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes"
"Barcelona","2016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193754.281949502,0,0,0,0,0,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260225_144454",19924
"Barcelona","2016",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193754.281949502,0,0,0,0,0,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260225_144454",19931
"Barcelona","2016",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193754.281949502,0,0,0,0,0,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260225_144454",20000
"Barcelona","2016",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193754.281949502,0,0,0,0,0,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260225_144454",20000
"Barcelona","2021",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,358732.836720189,0,0,0,0,0,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260225_144454",19672
"Barcelona","2021",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,358732.836720189,0,0,0,0,0,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260225_144454",19731
"Barcelona","2021",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,358732.836720189,0,0,0,0,0,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260225_144454",19748
"Barcelona","2021",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,358732.836720189,0,0,0,0,0,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260225_144454",19759
"Barcelona","2026",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,387486.389623546,0,0,0,0,0,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260225_144454",19683
"Barcelona","2026",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,387486.389623546,0,0,0,0,0,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260225_144454",19697
"Barcelona","2026",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,387486.389623546,0,0,0,0,0,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260225_144454",19708
"Barcelona","2026",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,387486.389623546,0,0,0,0,0,297493.913016628,3318.53484379227,63565.4309104963,23108.5108526292,"20260225_144454",19740
