"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes"
"Barcelona","2016",1,NA,6601.68,1.43,0,21.34,86,0.18,6.78,6.97,39023800.7085,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19659
"Barcelona","2016",1,NA,6601.68,1.43,0,21.34,86,0.18,6.78,6.97,39023800.7085,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19924
"Barcelona","2016",1,NA,6601.68,1.43,0,21.34,86,0.18,6.78,6.97,39023800.7085,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19924
"Barcelona","2016",2,NA,6599.36,1.42,0,21.36,85.55,0.65,6.77,6.95,39254024.6107,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19677
"Barcelona","2016",2,NA,6599.36,1.42,0,21.36,85.55,0.65,6.77,6.95,39254024.6107,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19931
"Barcelona","2016",2,NA,6599.36,1.42,0,21.36,85.55,0.65,6.77,6.95,39254024.6107,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19931
"Barcelona","2016",3,NA,6300.91,1.36,0,18.96,66.32,0.49,28.65,4.47,60663978.236,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19688
"Barcelona","2016",3,NA,6300.91,1.36,0,18.96,66.32,0.49,28.65,4.47,60663978.236,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",20000
"Barcelona","2016",3,NA,6300.91,1.36,0,18.96,66.32,0.49,28.65,4.47,60663978.236,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",20000
"Barcelona","2016",4,NA,5928.78,1.28,0,15.79,46.36,0.5,22.65,30.42,87015578.25835,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",19716
"Barcelona","2016",4,NA,5928.78,1.28,0,15.79,46.36,0.5,22.65,30.42,87015578.25835,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",20000
"Barcelona","2016",4,NA,5928.78,1.28,0,15.79,46.36,0.5,22.65,30.42,87015578.25835,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149960.981222688,20811.3268005012,606.476566609033,22375.4973597036,"20260224_114907",20000
"Barcelona","2021",1,NA,6402.66,1.39,-3.01,42.29,89.86,3.5,1.43,5.15,43957797.67405,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19659
"Barcelona","2021",1,NA,6402.66,1.39,-3.01,42.29,89.86,3.5,1.43,5.15,43957797.67405,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19672
"Barcelona","2021",1,NA,6402.66,1.39,-3.01,42.29,89.86,3.5,1.43,5.15,43957797.67405,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19672
"Barcelona","2021",2,NA,6258.52,1.36,-5.16,37.03,73.11,21.44,1.29,4.09,57260747.89725,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19677
"Barcelona","2021",2,NA,6258.52,1.36,-5.16,37.03,73.11,21.44,1.29,4.09,57260747.89725,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19731
"Barcelona","2021",2,NA,6258.52,1.36,-5.16,37.03,73.11,21.44,1.29,4.09,57260747.89725,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19731
"Barcelona","2021",3,NA,6152.01,1.33,-2.36,34.27,64.98,22.38,8.71,3.86,62430074.62565,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19688
"Barcelona","2021",3,NA,6152.01,1.33,-2.36,34.27,64.98,22.38,8.71,3.86,62430074.62565,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19748
"Barcelona","2021",3,NA,6152.01,1.33,-2.36,34.27,64.98,22.38,8.71,3.86,62430074.62565,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248435.641046828,1537.18602837208,89726.9844063335,19033.0252386554,"20260224_114907",19748
