"city","year","lts","found_routes","access_15min_vol"
"curitiba",16,3,18144,4686016
"curitiba",16,4,19991,11840409
"curitiba",21,3,19470,6655732
"curitiba",21,4,19991,12310563
"curitiba",26,3,19598,6530027
"curitiba",26,4,19991,11852941
"curitiba",16,1,19736,10098051
"curitiba",16,2,19738,10311797
"curitiba",19,1,19885,10750930
"curitiba",19,2,19891,11670842
"curitiba",21,1,19903,11071200
"curitiba",21,2,19937,12680613
"curitiba",24,1,19900,11726512
"curitiba",24,2,19944,14159301
"curitiba",26,1,19900,11727408
"curitiba",26,2,19944,14275245
