"city","year","lts","found_routes","access_15min_vol"
"turin",16,3,19123,160841685
"turin",16,4,19123,213718286
"turin",21,3,19990,215551913
"turin",21,4,19992,298561248
"turin",26,3,19962,204942599
"turin",26,4,19978,274412363
"turin",16,1,18738,657615339
"turin",16,2,18755,683910777
"turin",19,1,19859,1373968024
"turin",19,2,19864,1430316714
"turin",21,1,19910,2485434460
"turin",21,2,19928,2616869983
"turin",24,1,19913,2292308048
"turin",24,2,19933,2445454107
"turin",26,1,19913,2253441270
"turin",26,2,19934,2517005250
