"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",1219.56752833823,0,654.247,0,0,28.98,71.02,0,0,0,17.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,1438,1438,NA,NA,NA,NA,NA,NA,NA,NA
"10","10",1106.23709557222,0,0,0,0,45.63,0,39.75,14.61,0,20.2,20.2,NA,NA,NA,NA,NA,NA,NA,NA,1769,1769,NA,NA,NA,NA,NA,NA,NA,NA
"100","100",2122.81275567539,0,103.397,0,0,59.64,6.74,24.18,9.43,0,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000","1000",3240.79124013495,0,0,0,0,72.27,0,10.66,17.07,0,32.6,32.6,NA,NA,NA,NA,NA,NA,NA,NA,4029,4029,NA,NA,NA,NA,NA,NA,NA,NA
"10000","10000",2077.07837098089,0,0,0,0,84.73,0,5.33,9.94,0,16.9,16.9,NA,NA,NA,NA,NA,NA,NA,NA,2483,2483,NA,NA,NA,NA,NA,NA,NA,NA
"10001","10001",1154.33918932039,0,0,0,0,77.83,0,22.17,0,0,13.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,1692,1692,NA,NA,NA,NA,NA,NA,NA,NA
"10002","10002",933.137201317026,0,78.575,0,0,41.93,1.34,22.86,33.87,0,21.6,21.3,21.6,NA,21.6,NA,NA,NA,NA,NA,1954,1954,1954,NA,1954,NA,NA,NA,NA,NA
"10003","10003",2750.63943183913,0,0,0,0,53.77,0,0,46.23,0,40.4,40.4,40.5,NA,NA,NA,NA,NA,NA,NA,4350,4350,4350,NA,NA,NA,NA,NA,NA,NA
"10004","10004",2785.52732143711,0,0,0,22.901,70.55,0,29.45,0,0,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10005","10005",2579.72126704853,0,0,0,0,36.68,0.91,57.6,4.81,0,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006","10006",2665.87034176707,0,0,0,0,16.92,0,2.84,80.24,0,64.3,64.3,NA,NA,NA,NA,NA,NA,NA,NA,4773,4773,NA,NA,NA,NA,NA,NA,NA,NA
"10007","10007",1698.48165711985,0,0,0,0,52.11,0,41.92,5.96,0,22.7,22.7,NA,NA,NA,NA,NA,NA,NA,NA,2292,2292,NA,NA,NA,NA,NA,NA,NA,NA
"10008","10008",4840.67629150865,0,0,0,0,36.49,0,39.39,24.12,0,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7410,NA,NA,NA,NA,NA,NA,NA,NA,NA
