"city","year","lts","found_routes","access_15min_vol"
"shanghai",16,3,16845,73301785
"shanghai",16,4,19997,193250058
"shanghai",21,3,17718,86315455
"shanghai",21,4,19982,198784810
"shanghai",26,3,15264,110116358
"shanghai",26,4,17344,191670546
"shanghai",16,1,19607,392198800
"shanghai",16,2,19708,536192111
"shanghai",19,1,19617,453992857
"shanghai",19,2,19726,641858675
"shanghai",21,1,19683,450698839
"shanghai",21,2,19793,646911339
"shanghai",24,1,18208,654092970
"shanghai",24,2,18295,973849899
"shanghai",26,1,18236,679769132
"shanghai",26,2,18312,984232022
