"city","year","lts","found_routes","access_15min_vol"
"helsinki",16,3,19548,1239282618
"helsinki",16,4,19548,1494796123
"helsinki",21,3,19545,1288631620
"helsinki",21,4,19548,1489490451
"helsinki",26,3,19199,1173686697
"helsinki",26,4,19205,1376067973
"helsinki",16,1,19683,3207472014
"helsinki",16,2,19683,3531286125
"helsinki",19,1,19683,3285876512
"helsinki",19,2,19683,3605895713
"helsinki",21,1,19683,3391323505
"helsinki",21,2,19683,3665391086
"helsinki",24,1,19492,3251036644
"helsinki",24,2,19492,3518402477
"helsinki",26,1,19400,3207372453
"helsinki",26,2,19400,3459479598
