"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"150","150",12004,9641,10267,-2363,626,-1737,-0.144701766077974
"151","151",6499,6703,6612,204,-91,113,0.0173872903523619
"152","152",8154,9245,10197,1091,952,2043,0.250551876379691
"154","154",13459,12695,12475,-764,-220,-984,-0.0731109294895609
"156","156",10005,10629,10854,624,225,849,0.0848575712143928
"157","157",11195,10216,11112,-979,896,-83,-0.00741402411790978
"158","158",4912,5393,6021,481,628,1109,0.225773615635179
"160","160",5839,5933,6254,94,321,415,0.0710738140092482
"162","162",9090,6781,7529,-2309,748,-1561,-0.171727172717272
"167","167",4958,4261,4584,-697,323,-374,-0.0754336425978217
"168","168",12886,13886,14100,1000,214,1214,0.094210771379792
"169","169",5665,5703,5961,38,258,296,0.0522506619593998
"170","170",2720,2454,2328,-266,-126,-392,-0.144117647058824
"172","172",12386,11995,12249,-391,254,-137,-0.0110608751816567
"173","173",9037,7230,7290,-1807,60,-1747,-0.193316366050681
"174","174",10483,10289,10413,-194,124,-70,-0.00667747782123438
"175","175",11303,10755,11737,-548,982,434,0.0383968857825356
"176","176",10227,11417,10907,1190,-510,680,0.0664906619732082
"177","177",9399,10029,9859,630,-170,460,0.0489413767422066
"184","184",7277,7411,4618,134,-2793,-2659,-0.365397828775594
"185","185",9658,6273,7359,-3385,1086,-2299,-0.238041002277904
"189","189",6293,4366,4646,-1927,280,-1647,-0.261719370729382
"190","190",6171,4664,4217,-1507,-447,-1954,-0.316642359423108
"192","192",12577,12280,12525,-297,245,-52,-0.00413453128727041
"193","193",10888,8645,8261,-2243,-384,-2627,-0.241274797942689
"195","195",5903,7376,8103,1473,727,2200,0.372691851600881
"196","196",8242,7889,7773,-353,-116,-469,-0.0569036641591847
"197","197",7393,7358,7267,-35,-91,-126,-0.0170431489246585
"200","200",5367,2505,2502,-2862,-3,-2865,-0.53381777529346
"202","202",3738,3184,3206,-554,22,-532,-0.142322097378277
"204","204",3595,4634,4695,1039,61,1100,0.305980528511822
"205","205",6540,8622,8763,2082,141,2223,0.339908256880734
"208","208",7284,7748,7522,464,-226,238,0.0326743547501373
"209","209",5786,5716,6032,-70,316,246,0.0425164189422745
"210","210",2663,2738,2855,75,117,192,0.0720991363124296
"211","211",2791,6097,3276,3306,-2821,485,0.173772841275528
"212","212",11499,13465,12903,1966,-562,1404,0.122097573702061
"213","213",8879,9898,8077,1019,-1821,-802,-0.0903254871044036
"214","214",10469,10515,11050,46,535,581,0.055497182156844
"216","216",11035,12725,13146,1690,421,2111,0.191300407793385
"217","217",6478,6924,4841,446,-2083,-1637,-0.252701451065144
"219","219",6613,10018,7201,3405,-2817,588,0.0889157719643127
"220","220",7140,6941,6933,-199,-8,-207,-0.0289915966386555
"221","221",8453,6050,6301,-2403,251,-2152,-0.25458417130013
"224","224",1982,2098,967,116,-1131,-1015,-0.512108980827447
"225","225",4930,4703,4950,-227,247,20,0.00405679513184584
"226","226",10123,10505,10878,382,373,755,0.0745826336066383
"228","228",2678,2117,2248,-561,131,-430,-0.160567587752054
"229","229",9026,10566,10099,1540,-467,1073,0.118878794593397
"230","230",7778,7252,7278,-526,26,-500,-0.064283877603497
"231","231",8436,8662,8385,226,-277,-51,-0.00604551920341394
"232","232",14532,13873,14332,-659,459,-200,-0.0137627305257363
"233","233",10060,10960,10948,900,-12,888,0.0882703777335984
"234","234",5835,8120,7443,2285,-677,1608,0.275578406169666
"235","235",12152,11020,12047,-1132,1027,-105,-0.00864055299539171
"236","236",8233,9506,9528,1273,22,1295,0.157293817563464
"237","237",8421,8017,8507,-404,490,86,0.0102125638285239
"238","238",8889,8897,9421,8,524,532,0.0598492518843514
"240","240",8136,10652,7989,2516,-2663,-147,-0.0180678466076696
"241","241",5900,6219,5675,319,-544,-225,-0.038135593220339
"243","243",7059,6018,6605,-1041,587,-454,-0.0643150587901969
"244","244",1161,1786,2401,625,615,1240,1.06804478897502
"245","245",14498,11177,11873,-3321,696,-2625,-0.181059456476755
"246","246",10391,9938,12414,-453,2476,2023,0.194687710518718
"247","247",9006,7343,7458,-1663,115,-1548,-0.171885409726849
"250","250",5069,4835,4840,-234,5,-229,-0.0451765634247386
"251","251",2157,2038,2238,-119,200,81,0.0375521557719054
"252","252",6437,6175,6310,-262,135,-127,-0.0197296877427373
"253","253",15015,13486,13997,-1529,511,-1018,-0.0677988677988678
"255","255",9311,7751,7745,-1560,-6,-1566,-0.16818816453657
"257","257",4321,4183,4676,-138,493,355,0.0821569081231197
"259","259",4850,6335,8653,1485,2318,3803,0.784123711340206
"260","260",7460,8317,7054,857,-1263,-406,-0.0544235924932976
"261","261",6484,7021,7636,537,615,1152,0.177668106107341
"262","262",3014,3510,3253,496,-257,239,0.0792966157929662
"263","263",5800,3525,3526,-2275,1,-2274,-0.392068965517241
"264","264",8934,8583,8791,-351,208,-143,-0.0160062681889411
"265","265",3940,3485,3468,-455,-17,-472,-0.119796954314721
"267","267",7672,11072,7980,3400,-3092,308,0.0401459854014599
"268","268",13138,14303,13810,1165,-493,672,0.0511493377987517
"269","269",5301,3890,4392,-1411,502,-909,-0.171477079796265
"270","270",7651,6994,6315,-657,-679,-1336,-0.174617697033068
"271","271",6317,7768,7464,1451,-304,1147,0.18157353173975
"272","272",3854,3546,3632,-308,86,-222,-0.0576024909185262
"275","275",11809,9061,9777,-2748,716,-2032,-0.172072148361419
"277","277",12002,14917,12668,2915,-2249,666,0.0554907515414098
"278","278",6143,6337,6335,194,-2,192,0.0312550870909979
"279","279",3950,4750,3501,800,-1249,-449,-0.113670886075949
"280","280",5228,5507,5381,279,-126,153,0.029265493496557
"287","287",10622,11167,10461,545,-706,-161,-0.0151572208623611
"289","289",13109,12343,12186,-766,-157,-923,-0.0704096422305286
"290","290",6465,5809,5998,-656,189,-467,-0.0722351121423047
"291","291",17332,14826,13784,-2506,-1042,-3548,-0.204708054465728
"293","293",4541,3377,3374,-1164,-3,-1167,-0.256991852014975
"298","298",5124,4983,5419,-141,436,295,0.0575722092115535
"301","301",4303,2871,2793,-1432,-78,-1510,-0.350917964211016
"303","303",10102,10188,9244,86,-944,-858,-0.084933676499703
"306","306",9955,10791,10865,836,74,910,0.0914113510798594
"307","307",9204,9454,10086,250,632,882,0.0958279009126467
"308","308",10855,9008,9478,-1847,470,-1377,-0.126853984339014
"309","309",10223,12074,10281,1851,-1793,58,0.00567348136554827
"311","311",3820,3491,3672,-329,181,-148,-0.0387434554973822
"312","312",13765,12089,12454,-1676,365,-1311,-0.0952415546676353
"313","313",12348,11407,11344,-941,-63,-1004,-0.0813087139617752
"314","314",10338,9403,9470,-935,67,-868,-0.0839620816405494
"315","315",7623,7121,7160,-502,39,-463,-0.0607372425554244
"318","318",12568,10413,10411,-2155,-2,-2157,-0.17162635264163
"319","319",3082,3495,3054,413,-441,-28,-0.009085009733939
"321","321",9806,10686,9902,880,-784,96,0.00978992453599837
"323","323",7206,7539,7839,333,300,633,0.0878434637801832
"324","324",13466,13456,13015,-10,-441,-451,-0.0334917570176741
"325","325",7240,7079,7100,-161,21,-140,-0.0193370165745856
"327","327",9637,10338,10030,701,-308,393,0.0407803258275397
"329","329",6799,4367,4907,-2432,540,-1892,-0.278276217090749
"330","330",3303,4320,4318,1017,-2,1015,0.307296397214653
"331","331",9113,14338,11890,5225,-2448,2777,0.304729507297268
"332","332",7555,8099,8624,544,525,1069,0.141495698213104
"333","333",12996,12890,12984,-106,94,-12,-0.000923361034164358
"335","335",10623,9769,10759,-854,990,136,0.0128024098653864
