"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","pct_lts1_alternative","pct_lts2_alternative","pct_lts3_alternative","pct_lts4_alternative","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Lima",2016,1,7385117,4203.47,1.75,0,32.89,0.19,5.88,4.75,1.06,0,0.07,71.08,0.28,0.59,28.04,75.03,0.28,0.55,24.13,9828901.664,66426,0.68,68.07,0.42,1.51,30.01,51633,9291,117,5386,7.52,"20260327_180733",19659,8958908
"Lima",2018,1,7385117,3962.16,1.63,-5.74,31.08,0.65,16.54,9.47,5.47,1.39,0.22,62.99,5.93,2.45,28.63,75.22,4.55,1.8,18.42,10296197.065,174424,1.69,59.48,8.85,3.73,27.94,97831,52423,15577,8592,7.52,"20260327_180733",19686,8674409
"Lima",2020,1,7385117,4001.13,1.65,-4.81,31.41,0.72,17.69,9.95,5.76,1.71,0.28,61.97,5.63,2.78,29.62,74.95,3.98,2.24,18.83,10760844.229,182112,1.69,59.19,7.78,4.7,28.32,96722,54260,19402,11727,7.52,"20260327_180733",19637,8623017
"Lima",2022,1,7385117,4018.28,1.64,-4.41,29.33,0.84,27.16,17.57,7.75,1.57,0.27,62.46,6.32,3.27,27.95,79.63,3.35,1.89,15.13,11129304.348,275324,2.47,60.31,7.65,4.97,27.07,150641,90958,23767,9958,7.52,"20260327_180733",19732,9826006
"Lima",2024,1,7385117,4045.53,1.64,-3.76,28.92,0.82,30.96,26.8,2.9,0.81,0.44,64.97,7.01,4.19,23.84,81.51,3.44,2.64,12.42,11008802.722,316143,2.87,60.81,8.39,6.45,24.36,241713,46129,14914,13386,7.52,"20260327_180733",19846,9955282
"Lima",2026,1,7385117,4016.41,1.63,-4.45,28.72,0.87,32.67,29.03,2.31,0.79,0.54,66.56,6.91,4.35,22.18,82.04,3.71,2.98,11.26,11075224.475,331100,2.99,60.58,8.5,7.33,23.59,259000,42213,14934,14952,7.52,"20260327_180733",19748,10035034
