"city","year","lts","found_routes","access_15min_vol"
"glasgow",16,3,20000,179638453
"glasgow",16,4,20000,248083049
"glasgow",21,3,20000,185241094
"glasgow",21,4,20000,247557554
"glasgow",26,3,20000,182210033
"glasgow",26,4,20000,232610845
"glasgow",16,1,19989,313686196
"glasgow",16,2,19989,341673100
"glasgow",19,1,19991,341082869
"glasgow",19,2,19996,506845915
"glasgow",21,1,19993,333030144
"glasgow",21,2,19998,500626138
"glasgow",24,1,19994,356954414
"glasgow",24,2,19998,505144870
"glasgow",26,1,19995,411110418
"glasgow",26,2,20000,579621613
