"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"17717","17717",1862.82212230603,0,0,271.744,0,72.29,0,8.39,19.33,2,NA,NA,NA,NA,26.1,26.1,NA,NA,NA,NA,NA,NA,NA,NA,3203,3203,NA,NA,NA,NA
"17718","17718",1809.32795844329,579.53,10.415,416.807,0,81.99,0,11.88,6.13,2,NA,NA,NA,NA,25.9,25.9,NA,NA,NA,NA,NA,NA,NA,NA,3754,3754,NA,NA,NA,NA
"17719","17719",3677.98182287331,2827.584,0,996.443,0,100,0,0,0,1,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4945,NA,NA,NA,NA,NA
"1772","1772",3429.57886592484,0,0,0,0,66.25,0,16.08,17.67,0,NA,NA,NA,NA,41.7,41.7,NA,NA,NA,NA,NA,NA,NA,NA,4833,4833,NA,NA,NA,NA
"17720","17720",4554.72243181605,2325.155,0,50.566,37.305,91.79,2.1,0,6.11,4,NA,NA,NA,NA,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6699,NA,NA,NA,NA,NA
"17721","17721",1413.59376891838,982.87,85.883,214.753,0,91.93,3.68,0,4.39,0,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,NA,NA,NA,NA,NA
"17722","17722",2047.65714005419,0,0,0,0,80.57,0,3.92,15.51,0,NA,NA,NA,NA,23.4,23.4,NA,NA,NA,NA,NA,NA,NA,NA,3186,3186,NA,NA,NA,NA
"17724","17724",2450.27545035682,1869.483,0,5.107,381.826,86.2,0.32,6.97,6.51,4,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3474,NA,NA,NA,NA,NA
"17725","17725",3058.81465867295,723.994,541.748,472.931,561.687,93.31,0,4.59,2.11,2,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4082,NA,NA,NA,NA,NA
"17726","17726",8293.17484426207,3956.762,82.897,158.545,970.777,83.24,1.69,3.8,11.26,5,NA,NA,NA,NA,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10492,NA,NA,NA,NA,NA
"17727","17727",1212.59955262745,97.957,12.132,0,0,49.95,28.44,11.74,9.87,1,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA,NA,NA,NA,NA
"17728","17728",1779.67025237902,266.056,0,0,0,64.26,0,9.7,26.04,0,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2603,NA,NA,NA,NA,NA
"17729","17729",909.947387545049,0,0,0,181.855,70.27,10.67,19.06,0,0,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284,NA,NA,NA,NA,NA
"1773","1773",1753.96467822301,663.47,81.357,129.851,0,90.36,0,0.64,9.01,2,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2727,NA,NA,NA,NA,NA
"17730","17730",5398.13096779026,1545.022,0,0,0,82.4,0.15,2.14,15.31,2,NA,NA,NA,NA,72.7,72.7,NA,NA,NA,NA,NA,NA,NA,NA,9093,9093,NA,NA,NA,NA
"17731","17731",10208.9550502725,8458.554,1188.876,591.256,0,90.88,2.14,2.55,4.44,7,NA,NA,NA,NA,108.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16990,NA,NA,NA,NA,NA
"17733","17733",2352.07965952944,0,0,0,0,76.72,0,13.09,10.19,0,NA,NA,NA,NA,27.8,27.8,NA,NA,NA,NA,NA,NA,NA,NA,3599,3599,NA,NA,NA,NA
"17734","17734",1007.96921563506,29.886,0,0,526.07,68.02,2.24,19.83,9.92,1,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458,NA,NA,NA,NA,NA
"17735","17735",4075.2904039532,137.205,124.966,1400.167,0,90.13,0,0,9.87,3,NA,NA,NA,NA,33,33,NA,NA,NA,NA,NA,NA,NA,NA,5285,5285,NA,NA,NA,NA
"17736","17736",3434.11037517056,306.38,0,593.991,26.684,78.89,0,0,21.11,2,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4645,NA,NA,NA,NA,NA
"17737","17737",2190.41888362722,416.632,286.408,20.624,0,79.48,0,20.52,0,2,NA,NA,NA,NA,22.6,22.6,NA,NA,NA,NA,NA,NA,NA,NA,2765,2765,NA,NA,NA,NA
"17738","17738",5929.05435057964,977.268,57.457,657.909,0,92.49,0,1.59,5.92,3,NA,NA,NA,NA,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8625,NA,NA,NA,NA,NA
"17739","17739",6092.80660193281,5494.558,227.96,338.773,0,85.29,0,0.93,13.77,2,NA,NA,NA,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13799,NA,NA,NA,NA,NA
"1774","1774",2413.17744593248,223.741,233.272,0,0,56.06,0,17.78,26.16,1,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,4001,NA,NA,NA,NA,NA
"17740","17740",2409.21108647981,0,0,0,0,62.62,0,5.84,31.54,0,NA,NA,NA,NA,26.4,26.4,NA,NA,NA,NA,NA,NA,NA,NA,3012,3012,NA,NA,NA,NA
"17741","17741",3657.17720176155,1662.967,1569.133,13.244,757.539,89.21,6.02,1.81,2.95,5,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6775,NA,NA,NA,NA,NA
"17742","17742",3380.44923182622,1919.458,82.897,120.272,627.448,80.84,5.11,6.18,7.87,3,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4473,NA,NA,NA,NA,NA
"17743","17743",3164.90708930591,3510.278,0,0,0,79.7,0,13.27,7.03,3,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5213,NA,NA,NA,NA,NA
"17744","17744",916.502482742439,460.276,0,0,0,44.11,16.06,10.94,28.89,0,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518,NA,NA,NA,NA,NA
"17745","17745",1319.64988990629,0,0,0,0,28.39,0,0,71.61,0,NA,NA,NA,NA,24.3,24.3,NA,NA,NA,NA,NA,NA,NA,NA,1975,1975,NA,NA,NA,NA
"17746","17746",1647.511604209,202.699,0,0,0,96.4,0,0,3.6,0,NA,NA,NA,NA,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,2387,2387,NA,NA,NA,NA
"17747","17747",5417.40117580993,2705.05,0,376.33,54.306,96.88,0.92,0,2.19,6,NA,NA,NA,NA,39.3,38.6,NA,NA,NA,NA,NA,NA,NA,NA,7228,7228,NA,NA,NA,NA
"17748","17748",2787.88328223745,128.371,672.216,178.924,0,93.94,1.48,0,4.58,2,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,NA,NA,NA,NA,NA
"17749","17749",1553.48669283917,0,190.766,484.729,0,84.06,0,3.81,12.13,0,NA,NA,NA,NA,15.3,15.3,NA,NA,NA,NA,NA,NA,NA,NA,2313,2313,NA,NA,NA,NA
"1775","1775",5221.89081390245,3328.135,86.49,0,0,85.21,0.17,8.08,6.55,3,NA,NA,NA,NA,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5955,NA,NA,NA,NA,NA
"17750","17750",1931.89761897938,126.689,15.05,0,0,84.89,1.79,3.08,10.25,1,NA,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635,NA,NA,NA,NA,NA
"17751","17751",2598.43344916417,351.431,0,0,442.516,90.06,4.68,5.26,0,2,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3714,NA,NA,NA,NA,NA
