"city","year","lts","found_routes","access_15min_vol"
"bologna",16,3,19976,76217896
"bologna",16,4,20000,110459239
"bologna",21,3,19983,77715625
"bologna",21,4,20000,108323898
"bologna",26,3,19972,67414273
"bologna",26,4,19998,91903424
"bologna",16,1,19750,18981047
"bologna",16,2,19751,20017478
"bologna",19,1,19766,19019953
"bologna",19,2,19771,20080038
"bologna",21,1,19796,22372420
"bologna",21,2,19798,23412710
"bologna",24,1,19987,20820067
"bologna",24,2,19991,23681850
"bologna",26,1,19993,20946157
"bologna",26,2,19995,23370575
"bologna",18,1,19744,19180227
"bologna",20,1,19768,19223108
"bologna",22,1,19792,20185006
