"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"13525","13525",5961.43608236257,2704.752,54.805,0,76.509,77.51,0.67,11.52,10.3,5,NA,NA,72.6,72.6,NA,NA,NA,NA,NA,NA,NA,NA,8723,8723,NA,NA,NA,NA,NA,NA
"13526","13526",3828.39886566577,62.847,0,0,43.54,77.42,0,9.45,13.13,1,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,8730,NA,NA,NA,NA,NA,NA,NA
"13527","13527",2386.5753083629,1036.743,0,0,289.504,93.56,0.76,0.85,4.83,1,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3240,NA,NA,NA,NA,NA,NA,NA
"13528","13528",1194.91445168858,85.329,0,0,0,89.87,2.57,2.23,5.32,0,NA,NA,12.8,12.2,NA,NA,NA,NA,NA,NA,NA,NA,1971,1971,NA,NA,NA,NA,NA,NA
"13529","13529",2150.41707561611,184.962,0,0,0,90.32,0,0,9.68,0,NA,NA,22.2,22.2,NA,NA,NA,NA,NA,NA,NA,NA,3738,3738,NA,NA,NA,NA,NA,NA
"1353","1353",2082.99486990677,1129.784,0,0,86.549,84.1,0,14.74,1.16,2,NA,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3359,NA,NA,NA,NA,NA,NA,NA
"13530","13530",879.009853397306,0,0,0,0,98.82,0,1.18,0,0,NA,NA,8.1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,1525,1525,NA,NA,NA,NA,NA,NA
"13531","13531",1589.04794458901,1065.465,0,0,43.623,92.97,0,0.53,6.51,1,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2423,NA,NA,NA,NA,NA,NA,NA
"13533","13533",1627.74861999763,0,0,0,0,73.02,0,0,26.98,0,NA,NA,16.3,16.3,NA,NA,NA,NA,NA,NA,NA,NA,2172,2172,NA,NA,NA,NA,NA,NA
"13534","13534",2260.36826947775,0,0,0,0,87.79,0,12.21,0,0,NA,NA,27.3,27.3,NA,NA,NA,NA,NA,NA,NA,NA,3870,3870,NA,NA,NA,NA,NA,NA
"13535","13535",2920.08720383666,2877.881,0,0,238.413,83.74,0,8.76,7.51,3,NA,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5332,NA,NA,NA,NA,NA,NA,NA
"13536","13536",2876.00576103222,319.044,0,0,0,54.11,0,38.67,7.22,0,NA,NA,53.5,53.5,NA,NA,NA,NA,NA,NA,NA,NA,5192,5192,NA,NA,NA,NA,NA,NA
"13537","13537",547.638963718515,301.656,236.366,0,0,73.73,19.84,0,6.43,0,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,NA,NA,NA,NA,NA,NA,NA
"13538","13538",1284.12603658321,961.37,0,0,5.861,87.55,0,6.92,5.53,1,NA,NA,14.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016,NA,NA,NA,NA,NA,NA
"13539","13539",1647.43859573502,547.519,0,0,0,74.49,0,9.43,16.09,1,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA
"1354","1354",1348.74460349343,543.554,0,0,0,81.82,0,8.47,9.71,1,NA,NA,16.9,16.9,NA,NA,NA,NA,NA,NA,NA,NA,2562,2562,NA,NA,NA,NA,NA,NA
"13540","13540",923.912699414005,0,0,0,182.568,67.14,0,32.86,0,0,NA,NA,18.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,2072,2072,NA,NA,NA,NA,NA,NA
"13541","13541",1523.47557479536,0,0,0,0,74.76,0,0,25.24,0,NA,NA,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3964,NA,NA,NA,NA,NA,NA,NA
"13542","13542",1723.29736441988,884.756,0,0,0,90.34,0,0,9.66,1,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2636,NA,NA,NA,NA,NA,NA,NA
"13543","13543",2100.31387368334,987.935,0,0,0,97.57,0,0.57,1.86,0,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3070,NA,NA,NA,NA,NA,NA,NA
"13544","13544",2074.80167819807,77.513,0,0,442.477,81.9,0,5.6,12.5,1,NA,NA,19.1,19.1,NA,NA,NA,NA,NA,NA,NA,NA,2537,2537,NA,NA,NA,NA,NA,NA
"13545","13545",1179.07684957889,0,0,0,0,23.27,0,74.18,2.55,0,NA,NA,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4690,NA,NA,NA,NA,NA,NA,NA
"13546","13546",1575.01545234276,582.32,0,0,0,77.62,0,13.22,9.16,0,NA,NA,20.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,2713,2713,NA,NA,NA,NA,NA,NA
"13547","13547",5902.54517684828,4244.747,0,0,0,82.65,0,11.76,5.59,2,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,7723,NA,NA,NA,NA,NA,NA,NA
"13548","13548",3090.23533857949,0,0,0,383.277,39.43,0,37.08,23.49,0,NA,NA,74.9,74.9,NA,NA,NA,NA,NA,NA,NA,NA,6346,6346,NA,NA,NA,NA,NA,NA
"13549","13549",8152.1344113988,5161.009,0,0,398.53,80.19,1.64,5.6,12.57,3,NA,NA,87.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11540,NA,NA,NA,NA,NA,NA,NA
"1355","1355",2492.20386374075,0,0,0,247.979,13.55,0,76.15,10.3,0,NA,NA,41.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,3298,3298,NA,NA,NA,NA,NA,NA
"13550","13550",2840.29530590404,1245.502,0,0,278.042,54.79,2.95,6.73,35.53,2,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,4294,NA,NA,NA,NA,NA,NA,NA
"13551","13551",3348.64286319562,49.392,0,0,442.477,82.52,0,9.83,7.65,1,NA,NA,36.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA,5501,5501,NA,NA,NA,NA,NA,NA
"13552","13552",2798.63926201279,77.513,25.993,0,412.197,79.77,0.17,10.11,9.96,2,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5137,NA,NA,NA,NA,NA,NA,NA
"13553","13553",1548.4239763489,1080.962,0,0,0,93.81,1.24,1.19,3.75,0,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252,NA,NA,NA,NA,NA,NA,NA
"13554","13554",954.280667359877,0,0,0,0,85.79,0,0,14.21,0,NA,NA,23,23,NA,NA,NA,NA,NA,NA,NA,NA,3451,3451,NA,NA,NA,NA,NA,NA
"13555","13555",1890.34349830777,288.199,236.366,0,0,96.41,0.42,1.82,1.35,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2694,NA,NA,NA,NA,NA,NA,NA
"13556","13556",1274.17673885862,1061.315,64.537,0,39.401,93.34,0,1.43,5.23,2,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,NA,NA,NA,NA,NA,NA,NA
"13558","13558",1415.76448948096,0,69.986,0,0,95.07,2.22,2.72,0,0,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205,NA,NA,NA,NA,NA,NA,NA
"13559","13559",3525.15941394849,566.874,0,0,0,45.34,0.27,50.31,4.07,1,NA,NA,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5688,NA,NA,NA,NA,NA,NA,NA
"1356","1356",3580.0035019835,2545.773,0,0,626.978,90.56,0,8.66,0.78,4,NA,NA,45.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,6909,6909,NA,NA,NA,NA,NA,NA
"13560","13560",1033.59555174899,757.806,0,0,0,81.47,0,16.91,1.63,1,NA,NA,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,1483,1483,NA,NA,NA,NA,NA,NA
"13561","13561",1591.09305244165,0,0,0,0,34.74,0,65.26,0,0,NA,NA,33.9,33.9,NA,NA,NA,NA,NA,NA,NA,NA,2345,2345,NA,NA,NA,NA,NA,NA
"13562","13562",2065.8406260002,646.065,0,0,0,76.88,0,14.34,8.77,2,NA,NA,32.1,32.1,NA,NA,NA,NA,NA,NA,NA,NA,3647,3647,NA,NA,NA,NA,NA,NA
"13563","13563",1053.65495825515,422.131,0,0,0,56.17,0,43.83,0,0,NA,NA,25.5,25.5,NA,NA,NA,NA,NA,NA,NA,NA,2409,2409,NA,NA,NA,NA,NA,NA
"13564","13564",1791.47192210264,62.847,0,0,66.566,85.25,0.57,12.68,1.5,1,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2830,NA,NA,NA,NA,NA,NA,NA
"13565","13565",3500.40871734142,0,0,0,0,34.87,0,36.73,28.4,0,NA,NA,59.2,59.2,NA,NA,NA,NA,NA,NA,NA,NA,4763,4763,NA,NA,NA,NA,NA,NA
"13566","13566",7771.39367452224,3392.855,0,0,999.193,64.14,0,27.78,8.08,4,NA,NA,106.6,106.6,NA,NA,NA,NA,NA,NA,NA,NA,13220,13220,NA,NA,NA,NA,NA,NA
"13567","13567",3833.34388871856,439.87,0,0,66.566,83.5,0,15.75,0.76,2,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5063,NA,NA,NA,NA,NA,NA,NA
"13568","13568",2121.4393948916,2857.397,0,0,0,87.16,0,7.94,4.89,1,NA,NA,24.1,24.1,NA,NA,NA,NA,NA,NA,NA,NA,3480,3480,NA,NA,NA,NA,NA,NA
"13569","13569",3919.16925024358,2109.313,0,0,0,87.53,0.85,7.77,3.84,1,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5856,NA,NA,NA,NA,NA,NA,NA
"1357","1357",827.992889991754,582.32,0,0,0,95.77,0,4.23,0,0,NA,NA,12.1,12.1,12.7,12.7,NA,NA,NA,NA,NA,NA,2245,2245,2245,2245,NA,NA,NA,NA
"13570","13570",1256.21329261313,0,0,0,0,46.14,0,0.19,53.67,0,NA,NA,22.8,22.8,22.8,22.8,NA,NA,NA,NA,NA,NA,2366,2366,2366,2366,NA,NA,NA,NA
"13571","13571",2146.52981416563,1879.002,0,0,0,90.05,0,7.34,2.61,2,NA,NA,19.3,19.3,NA,NA,NA,NA,NA,NA,NA,NA,3076,3076,NA,NA,NA,NA,NA,NA
"13572","13572",1512.00824565199,3.896,0,0,0,85.57,0.75,6.71,6.97,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2109,NA,NA,NA,NA,NA,NA,NA
"13573","13573",1047.9550991619,0,0,0,0,62.13,0,37.87,0,0,NA,NA,13.2,13.2,13.2,13.2,NA,NA,NA,NA,NA,NA,1574,1574,1574,1574,NA,NA,NA,NA
"13574","13574",2428.92188664926,1521.597,0,0,0,72.11,0,11.52,16.37,1,NA,NA,30.9,30.9,NA,NA,NA,NA,NA,NA,NA,NA,3675,3675,NA,NA,NA,NA,NA,NA
