"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Munich","2016",1,1267696,7116.54,1.31,0,52.76,96.65,0.18,0.62,2.56,6668246.962,742423.517687546,11.13,75.92,1.33,3.92,18.82,418467,26083,0,297873,"20260225_100729",19939,NA
"Munich","2016",2,1267696,7094.46,1.31,0,52.19,95.48,1.38,0.62,2.53,6668246.962,742423.517687546,11.13,75.92,1.33,3.92,18.82,418467,26083,0,297873,"20260225_100729",19951,NA
"Munich","2016",3,1267696,7019.95,1.29,0,52.18,90.25,1.74,5.64,2.37,6668246.962,742423.517687546,11.13,75.92,1.33,3.92,18.82,418467,26083,0,297873,"20260225_100729",19984,NA
"Munich","2016",4,1267696,6766.06,1.25,0,50.65,74.21,1.47,5.66,18.67,6668246.962,742423.517687546,11.13,75.92,1.33,3.92,18.82,418467,26083,0,297873,"20260225_100729",20000,NA
"Munich","2021",1,1267696,7085.32,1.31,-0.44,53.47,96.75,0.19,0.57,2.49,6908578.864,759951.834898932,11,77.61,1.54,3.7,17.15,382599,33911,431,343011,"20260225_100729",19934,NA
"Munich","2021",2,1267696,7058.69,1.3,-0.5,53.01,95.31,1.7,0.54,2.44,6908578.864,759951.834898932,11,77.61,1.54,3.7,17.15,382599,33911,431,343011,"20260225_100729",19940,NA
"Munich","2021",3,1267696,6998.07,1.29,-0.31,53.79,90.93,2.33,4.39,2.34,6908578.864,759951.834898932,11,77.61,1.54,3.7,17.15,382599,33911,431,343011,"20260225_100729",19949,NA
"Munich","2021",4,1267696,6784.85,1.25,0.28,57.47,81.25,2.35,4.07,12.34,6908578.864,759951.834898932,11,77.61,1.54,3.7,17.15,382599,33911,431,343011,"20260225_100729",19976,NA
"Munich","2026",1,1267696,7316.71,1.34,2.81,63.89,96.27,0.22,0.74,2.77,7018816.239,838235.537890828,11.94,78.14,1.73,3.9,16.23,69200,41445,2910,724681,"20260225_100729",19945,70510606
"Munich","2026",2,1267696,7302.68,1.34,2.93,63.11,95.07,1.49,0.7,2.74,7018816.239,838235.537890828,11.94,78.14,1.73,3.9,16.23,69200,41445,2910,724681,"20260225_100729",19945,71823821
"Munich","2026",3,1267696,7232.65,1.33,3.03,64.29,91.34,1.57,4.46,2.63,7018816.239,838235.537890828,11.94,78.14,1.73,3.9,16.23,69200,41445,2910,724681,"20260225_100729",19966,76783225
"Munich","2026",4,1267696,6963.47,1.29,2.92,72.08,80.71,1.27,3.65,14.38,7018816.239,838235.537890828,11.94,78.14,1.73,3.9,16.23,69200,41445,2910,724681,"20260225_100729",19985,101887384
