"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Sydney","2016",1,NA,8862.86,1.52,0,25.21,80.27,0.81,6.45,12.43,5888098.726,241116.811540428,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,"20260225_054922",17733,NA
"Sydney","2016",2,NA,9036.67,1.52,0,26.22,77.38,4.91,5.99,11.68,5888098.726,241116.811540428,4.09,50.4,2.01,18.21,29.38,143682,46808,10922,39705,"20260225_054922",NA,NA
"Sydney","2021",1,NA,9079.05,1.5,2.44,39.78,86.04,1.33,4.6,7.99,6336313.824,411168.947245955,6.49,56.63,4.09,14.76,24.52,193231,54415,120577,42945,"20260225_054922",NA,NA
"Sydney","2026",1,NA,9288.83,1.46,4.81,49.67,92.98,0.93,2.19,3.88,6794440.947,509407.350761083,7.5,68.95,4.23,10.27,16.55,258898,52524,169934,28050,"20260225_054922",NA,NA
