"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"99","99",9260,8954,8948,-306,-6,-312,-0.0336933045356371
"101","101",3593,3265,4128,-328,863,535,0.148900640133593
"102","102",11864,12661,13485,797,824,1621,0.136631827376939
"103","103",11937,11345,10693,-592,-652,-1244,-0.104213789059228
"104","104",13534,12830,12616,-704,-214,-918,-0.0678291709767992
"105","105",13459,13302,13927,-157,625,468,0.034772271342596
"106","106",13887,14961,13882,1074,-1079,-5,-0.000360048966659466
"107","107",9519,8236,8013,-1283,-223,-1506,-0.158209895997479
"108","108",4262,4510,5003,248,493,741,0.173862036602534
"109","109",4876,4972,4860,96,-112,-16,-0.00328137817883511
"112","112",4576,4247,4434,-329,187,-142,-0.0310314685314685
"113","113",8527,9605,9444,1078,-161,917,0.107540752902545
"114","114",2916,2776,2726,-140,-50,-190,-0.0651577503429355
"115","115",4967,4816,5214,-151,398,247,0.0497282061606604
"116","116",7081,6790,6934,-291,144,-147,-0.0207597796921339
"117","117",4240,5869,5617,1629,-252,1377,0.324764150943396
"119","119",4212,6310,5160,2098,-1150,948,0.225071225071225
"120","120",6529,7230,7128,701,-102,599,0.0917445244294685
"121","121",8981,9363,8345,382,-1018,-636,-0.0708161674646476
"122","122",2086,1748,1748,-338,0,-338,-0.162032598274209
"123","123",10689,10832,10692,143,-140,3,0.000280662363177098
"124","124",9202,9004,9629,-198,625,427,0.0464029558791567
"125","125",18205,16975,16519,-1230,-456,-1686,-0.0926119198022521
"126","126",9150,9648,9656,498,8,506,0.0553005464480874
"127","127",16564,16112,15204,-452,-908,-1360,-0.082105771552765
"128","128",5858,6096,5565,238,-531,-293,-0.0500170706725845
"129","129",14850,14889,14988,39,99,138,0.00929292929292929
"130","130",3965,3814,4218,-151,404,253,0.0638083228247163
"131","131",9299,8531,7765,-768,-766,-1534,-0.164963974620927
"132","132",7493,7291,8078,-202,787,585,0.0780728680101428
"133","133",10147,9511,10137,-636,626,-10,-0.000985512959495417
"134","134",8401,7599,7778,-802,179,-623,-0.0741578383525771
"135","135",17049,15887,15256,-1162,-631,-1793,-0.105167458501965
"136","136",6180,7622,6319,1442,-1303,139,0.0224919093851133
"137","137",16276,15460,15606,-816,146,-670,-0.0411649053821578
"138","138",3590,3245,3392,-345,147,-198,-0.0551532033426184
"139","139",12387,13923,12875,1536,-1048,488,0.0393961411156858
