"city","year","lts","found_routes","access_15min_vol"
"seoul",16,3,16318,100601581
"seoul",16,4,20000,267443095
"seoul",21,3,19696,133006958
"seoul",21,4,19982,272590286
"seoul",26,3,19882,145435341
"seoul",26,4,19984,266121937
"seoul",16,1,19939,21004937
"seoul",16,2,19949,21580817
"seoul",19,1,19972,26802353
"seoul",19,2,19972,27476244
"seoul",21,1,19976,29535143
"seoul",21,2,19977,30432477
"seoul",24,1,20000,32601173
"seoul",24,2,20000,33602404
"seoul",26,1,19949,32993975
"seoul",26,2,19962,33929148
