"city","year","lts","found_routes","access_15min_vol"
"lisbon",16,1,19224,18044216
"lisbon",16,2,19226,18603950
"lisbon",16,3,19227,26674507
"lisbon",16,4,19227,50247005
"lisbon",19,1,19143,21607879
"lisbon",19,2,19143,23032433
"lisbon",19,3,19146,29817987
"lisbon",19,4,19146,52120739
"lisbon",21,1,19144,23532645
"lisbon",21,2,19144,25052700
"lisbon",21,3,19146,31765203
"lisbon",21,4,19146,52011140
"lisbon",24,1,19093,26831398
"lisbon",24,2,19142,28936065
"lisbon",24,3,19142,35342736
"lisbon",24,4,19164,52019143
"lisbon",26,1,19115,27448155
"lisbon",26,2,19163,29654502
"lisbon",26,3,19164,36271794
"lisbon",26,4,19164,51471775
"lisbon",18,1,19144,21600316
"lisbon",20,1,19144,22202600
"lisbon",22,1,19115,25512586
