"city","year","lts","found_routes","access_15min_vol"
"warsaw",16,3,19991,444637501
"warsaw",16,4,19991,659378610
"warsaw",21,3,19995,540945577
"warsaw",21,4,20000,693167443
"warsaw",26,3,19895,482725131
"warsaw",26,4,19896,537833751
"warsaw",16,1,19962,35247670
"warsaw",16,2,19962,37814790
"warsaw",19,1,20000,43532668
"warsaw",19,2,20000,45847289
"warsaw",21,1,19852,45851102
"warsaw",21,2,19954,50070476
"warsaw",24,1,19804,47060160
"warsaw",24,2,19853,48730366
"warsaw",26,1,19864,47199404
"warsaw",26,2,19864,48787022
