"city","year","lts","found_routes","access_15min_vol"
"dublin",16,3,20000,75414718
"dublin",16,4,20000,137835395
"dublin",21,3,19984,81297039
"dublin",21,4,19984,133361977
"dublin",26,3,19984,74174162
"dublin",26,4,19984,112567338
"dublin",16,1,19976,10701708
"dublin",16,2,19976,10942533
"dublin",19,1,19941,11642371
"dublin",19,2,19941,12905214
"dublin",21,1,19941,12039355
"dublin",21,2,19941,13322655
"dublin",24,1,19965,13371761
"dublin",24,2,19965,14437035
"dublin",26,1,19965,13258353
"dublin",26,2,19965,14348923
"dublin",18,1,19941,11311432
"dublin",20,1,19941,11951867
"dublin",22,1,19941,12878845
